,Unnamed: 0,tweet,class_multi,class_binary
28,28,glede social pomoč ima predsednik vlade delno prav preje jo mora tisti ki jo resnič potreb samo zakaj se tu gleda vedno sloven nič tujce in migran ti živij na social po večin celo v tujin jim jo naša držav nakaz,1,1
29,29,pa kaj pa je njemu kupit nov avto kot meni pico,0,0
30,30,ogled mlajš od 15 let dovolj le v sprems starš ali skrbnik,0,0
31,31,ne tote so ofce na bicikl,1,1
32,32,resnič degut je primer tita in mussol med njima namreč ni noben razlik razen te da je musol 45 tega visel tito pa je revolucionar morij nadalj celo po končan vojni torej po letu 45 kdaj bo odstr napis na sabot,1,1
33,33,to ne razlož tega zakaj sta v vb ki se ukvar s 164 okužen dva že umrla v nemčij ki zdrav 711 obolel pa na srečo nihče še ni umrl morda odvisn od star struktur okužen,0,0
34,34,požarepor ponedel nezaup proti zarot in prevar ljublj terja zapisnik in pojasn vplet tudi in primož heinz več,0,0
35,35,in to stran ki na velik zagovar gender teor,0,0
36,36,get woke on the fdvjov so enako dobri o znanos kotznanstvenik question,0,0
37,37,merkl bi pomoč vzhod nemči moraw bi kmetij subven macron bi erasmus kurz in skandinav bi čimman je že jasno za kaj se zavz odstop,0,0
38,38,jih še kdo uporab kar se mene tiče naj jih na stacionar dajo,0,0
39,39,bo koronavirus zamakn integr sloven iz venezuel,0,0
40,40,prav da gre osel samo enkrat na led nekater vam pa uspe to večkr vsak novi obraz v politik pa to ni se vam treba bati za nas ker tega ne počne in na stvar pač kritič gleda,1,1
41,41,kronolog dogodk pravi drugač začel je ona začel se je že v yu ko so moral nekater izpraz stanov če se je ona najav na obisk o njej kot o osebi vse najslab o njej kot o umetn nič saj je bil tudi hitler zapoved umetnik za svoj življ,1,1
42,42,nasmeh je najlep makeup na obraz prikr vse sledi tudi tiste ki na zunaj niso vidne nisi ga s ponos želim vam prijet in nasmej dan,0,0
43,43,ne moje dejan določb zakon us ni nikol ugotov da je dz ravnal napačn ampak da je bil zakon neust lepo popold,0,0
44,44,no to kakorkol obrač prostor za življ in dejavnos v mestu določ to kako se po prostor premik,0,0
45,45,ahaha dobra finta ne cenzur po partij linij še navaj iz požar maribor očka in stric sta takrat vladal,1,1
46,46,pa kaaak če smo pa ja vsi doma samo zlobn nekaj o regist natolcuj,1,1
47,47,cca 1800 mvih zaradi koronavirusa v enem dnevu v zda us report bigges daily increas in coronavirus deaths with ny at epicen,0,0
48,48,midva sva za mulca nekaj časa nabavl pri junak ki je delal krasn torte potem je pa enkrat bila situa da takrat ko smo rabil torto on ni mogel naredit pa je bilo treba zgrunt zdaj pa mami dela fenom torte ki vsak mulca iz hlač stres,0,0
49,49,ne pozab na grčij kjer se brani evrop in njena civiliz,1,1
50,50,zakaj je domnev vdiran hekerj v farma firme in iskan podatk o cepiv dobil tolik medijs pozornos in zakaj enake obsodb niso bile deležn firme ki so te podatk skriv oz jih očitn niso hotel delit,0,0
51,51,za migran topli zabojnik javni zdravs delav in pacien v mrzlih šotor,0,0
52,52,ne zali sds a ker zdaj najbol garaj ker ce bi imeli se komik na sceni bi bila stvar se dosti bolj alarm najbol vlada in minist do sedaj vse pohval,0,0
53,53,a ti je že kdo poved da so tvoji komentar in vpraš največ uporab manj kot prst pri kronič drisk,1,1
54,54,vlada ima nadzor predalič je samo posred ti je dobro znano,0,0
55,55,mogoč to izkoris da vzpostav tud gospodar kontak sicer spet si tega najbrž ne želim ali pač glede na to da z usa je precej nejasnos,0,0
56,56,upravič vse levajz vas je lahko sram tudi jaz sem po nekem dost zoprn testu neke sorte levičar pa si raj luknj v kolen z borma zvrta kot da bi podpir to podivj drhal iskren me je bilo kar malo sram ko se je pokaz rezult,1,1
57,57,obrni se na fašist kordi pa poglej če je šarčev bazen še prazen in so krofi že vzhaj najbol mi gre na živce osladn govorj politik s kater lovij naivn volil dejans pa nikol ne izpoln svojih obljub laž je nesmrt duša komuniz,1,1
58,58,obožev v odprt pismu pros za zamik premier noveg bonda,0,0
59,59,minister za družin ne bi sploh smel biti nekdo žene moža in brez otrok le tak človek namreč ve za kaj se gre,0,0
60,60,imamo romsk cigans geta kjer so isti vzorc obnaš kot v črnsk,1,1
61,61,odsvetuj boj z nekom za kater menit da vas bo vedno premag ali ugnal prekvalificiraj nasprot,0,0
62,62,cimprej tem bolje dosti ste lomast po demokr in drzav,1,1
63,63,ne pravi da je prav niti narob enostav ne vem me pa zanim kolik opozi amandmaj je takrat koali sprejel ob sprej letošn proračun in prosi dajmo se pri štetj za pretvar da levic ni bila opozi stran,0,0
64,64,in ja uganil ste naša polit je seksistič le kdo se je spomn teh kvot a medte so ameri seksis in rasis pa še zdaleč se teh kvot niso spomn desničar aka rasis samprav,1,1
65,65,ocitn ni slo zgolj za nekaj nedolz hvala prijatel za tale nazorn prikaz,0,0
66,66,rut mi smo v lj morje bo malo počak da se te horde razkad tole ni čist normal na meji,1,1
67,67,bog ve a je pobudnik levicar edino ti imajo interes ze 70 let skodov ljude negled na ceno prav noben razlik ni v koncn rezult za nekeg 60 70 letni a ga zadan krogl pred brezn ali dolet koronavirus mogoc le da krogl hitre oprav,1,1
68,68,jaz pa samo čakam kako dolgo še bo tist kljun sukal,1,1
69,69,domovina pogledi kaj si l jelušič žiga turk jože možin in ernest petrič misl o domov video 18 junij 2020 svoje razmi o delov demokr je predstav tudi dr turk ki je dejal ali demokr funkcion ali ne se izkaž v tem ali ima rezult,0,0
70,70,kako že gre to ne prebav sekte hkrat jo pa podpir za to logik pa že rabiš brilj um sicer pa čemu bi naša vojsk rabil tanke na ulicah da bi s kanon napadl virus,0,0
71,71,khm nekak se ujema z otvorit v šiški mogoč je pa vse res,0,0
72,72,če bi želel posla vojsk na severn mejo bi bili levičar takoj za,1,1
73,73,uau orangemanbad bolnik še vedno po zobeh vleč trump in vremen karto ker je izpostav morebit worsecasescenar ker četud so bili vremenar prepr v drugač sliko se slednj tudi prepogos motij noro,1,1
74,74,in potem se oglas kapit costa concor neokus,1,1
75,75,podkast polcaj 22 je v podkastar z ugotavljav kako se je na prvi domač tekmi po epide znašel kakšn bo vijoličas ekipa v nasled sezon in kdo ima največ možnos v troboj za naslov v,0,0
76,76,iz tvojih ust v božja ušesa samo dopovej to ljude ko leva medijs ofenz dela vse da jih očrni,1,1
77,77,maja 1989 smo z majni deklar odločn rekli hočem živet v suver držav sloven narod osamosvojit pa ima koren v cvetn nedelj 1990,0,0
78,78,in tukaj bi vam sedaj poved zgodb o kater sem razmi kar nekaj ljubez mesec majev ko so se od maribor skozi dravsk dolin proti pliber valil avtobus hrvašk in bosans regist okra s slika antej pavelić in drugih,0,0
79,79,iz radovednos kater pa je najbol guma na svetu for futur refer,0,0
80,80,upam da je res antifašis in da sta oba njegov starš in tudi vsi na tej polic postaj in vsi v mestu iz kater je antifašis ampak to ne pomen da ima ta fant resne probl da je šel razbij avto bo moral delat na tem da to odprav,0,0
81,81,to je ca 35 novo okužen ob normal števil testir kaj boste nared kako boste ukrep aplik ne bo rešil vedno večje težav kot tudi ne krek ki je zgublj v svoje vesolj,1,1
82,82,če komu pomag avstr so pred kratk odloč da bo bosta pri njih tv in radio naročn še naprej mogoč pa njihov televiz ni v rokah skrajn levičar kot naša pa je potem za ljudi bolj sprej,1,1
83,83,kapo dol s svojim trudom in delom uspeš doseči točno to kar si si zamislil zaželel bravo,0,0
84,84,kljub temu da se ne strinj da so v najvis placn razred ze zarad simbolik bi lahko bili v najniz kaj pa je pri 4800 bruto 400 bruto vec je nepost recti da so bile place v prvem paket vsak delodaj mora ob nastop dela dolocit placo delav,0,0
85,85,lol večin je imela takrat levic v vsake primer bi bil ivolj čefur,1,1
86,86,ivanretvit petic v podpor vladi zbral že 48 tisoč podpis potrebuj vlado ki zna in zmore in taka vlada potreb nas via,0,0
87,87,dobre novic z otoka zdravs stanj boris johnson se izbolj,0,0
88,88,ni bil članek novinar tega itak ne bi dali v javn,0,0
89,89,včeraj mi je v roke prišl očetov sprič leto 1938 39 iz državn petrazred ljudsk šole prav dober uspeh na te ocene,0,0
90,90,očitn tako strok da ne pozna osnov epide je že res da brez zdrav pamet se nito čevlj ne obuje,1,1
91,91,prav da kriza potegn najbol in najslab iz ljudi ne vem pa v kater kategor najbol ali najslab sodi zatek politik k socialistič ukrep za rešev gospodar po evrop v nekriz časih vztraj korak v kontr smeri,0,0
92,92,laži brez pol državn aparat kot brez pol gospodar pa ne bomo se preveč naprez ravno prav da bo za plače k nam jih noben ne da,0,0
93,93,frisn maj 2020 poglej komu sledi in kaj pise hujsi kot balk spijun blok,1,1
94,94,ma boli nas kaj boste vi protestnik rekli prveg od vas ki se bo stegn zarad covi19 bom predlag za darwin award,1,1
95,95,na hrvašk ni zmagal desni zmota pomot plenković sestav koali s satel,1,1
96,96,ne pozab zavrt včeraj na ga gleda na skrivaj vi ga pa lahko javno v krogu družin seved včeraj odličn in,0,0
97,97,če je to najbol kar premor smo gotov 2 miljon nas je in jajo nas bo skreg do konca tako kot trump amerik deli in vladaj to je janša povej mi kaj je lahko slabš od tega,1,1
98,98,formal jih je dan pred izvolit nove vlade v dz res nekaj a najbol indik je njihov obnaš glede snav in ignor ter posmeh tisti ki so opozar da se je potreb pripravit in ravnat preven se še spomn šarčev nebuloz s tiskov,1,1
99,99,mene so ukinil na mmc pa je tam polno bolj nestrp vsebin tudi zato podpir petic v,0,0
100,100,nova izziv erdog turči na sporn dele sredoz morja pošil ladje ter provo grčij,0,0
101,101,turki bodo hagij sofij pustil odprt za turi krščan ikon ne bodo odstr,0,0
102,102,pričak res se jim že dobesed blede,1,1
103,103,ampak se je seved to vse na glavo postav ker so bili najbol funkcion mladi odrasl ljudj iz patriar tipa družin,0,0
104,104,in kako lahko minister finan medij ki pljuv po jansi danasn faktor kje je tu logik,0,0
105,105,z roko do komol v marmelad vse nezakon zaposlit v zadnj dnevih stare vlade s 3 dnevn razpis roki vse pogodb ki so bile podpis v zadnj trenut vse bo potreb prekl lopov,1,1
106,106,sab je postal slace delas projek vlado to pomen da nacel tega ne pocnes iz ideolos razlikd pa ze v start izloc poziv pa je cista ideolog in njena laz o projek vladist lazniv alenk sal,1,1
107,107,a še nisi pozab,0,0
108,108,hhahahahah res sem se nasmej domobr so nastal iz vaških straž in klerik bele garde beri 80 četnik jaka avšič karl novak in so bili pomožn polic enota nemšk werma,0,0
109,109,vojsk bo izključ na j meji za to da bo v notranjos polic,0,0
110,110,če gre tako naprej bomo med top 5 po izved testih na mio prebiv,0,0
111,111,zlahk bi ukinil medobč omejit saj se izven domov za ostarel okuži manj kot 10 ljudi dnevn ampak ne,0,0
112,112,vsi msm in nekater ki prav da ste nevtr nehajt naklad in zavaj vlado imamo 1 teden kaj če bi poved še to kaj je nared dobr,1,1
113,113,kartonas škatl bi mu moral nekdo našti da se stlač vanjo,0,0
114,114,ko se trnljul zbudi iz dolg spanc in stop v nov svet kjer so same lepe stvar sonce sije trava in rožic rast ter ptičk pojo,0,0
115,115,saj to njegov štos edini s podpih svojih medij je državl tako prestr pred migran da je to vse kar jih zanim vse ostal je nepom,1,1
116,116,groza na galaksvag ne vem če sem prav napis živi prijatel moje mami tam se mi je zdelo kot pri nas na kofcah,0,0
117,117,kot razum ste mlada oseba in sete leta 1991 še cuzal prst glede razprod je to del družb sist ki smo ga zamenj in naj ne bilo več državn lastn vse zamen trg plebiscit kdo pa ima vizij in kakšn pa je del demokratič sist voliv odloč,0,0
118,118,23 novih okužb domov za starej občan ogrož območ,0,0
119,119,butelj je zaprt dejans so tak škrti da za fotkan nočej odpret vina,1,1
120,120,bumbar vse je baje odobr zraven so se pa jaklin terce pa zdrav drli naj na zbr podpi,1,1
121,121,brez dlake na jezik in brez dlake na češplj gladk obrit yummy za pocuz,0,0
122,122,res je a ta števil je vsaj neko orodj brez nje ni noben za vse te mnoge trdoglav,1,1
123,123,ta bosanski ovce jebač zaltan čordidsi dovolita je v bosanskih hribih jebal ovce in bukvese pritepel kot lačen posranec v slovenijozdaj pa se šopiri kot ovenja če ovce jebcu smrdi slovenska narodna glazbaprvi vlak za bosanska brda ovce jebat,1,1
124,124,roman tomc ob umetn intelig rabim tudi nova prav o varstv potrošnik,0,0
125,125,tehnič in druga pomoč 2 05 2020 02 51ob 2 51 je na zdrav cesti v podčet prišl do močn puščan plina iz plinoh posred so gasil pgd steklar rogaš slatin ki so zavar kraj dogod,0,0
126,126,do odgovor kako zelo so družb omrež pomemb za vaše podjet vas loči le en klik,0,0
127,127,oditi so moral zarad sendvič maket prevaž kontrabas z državn avtom predol jezik in podobn krimin dejanj še dobro da je šarec kmalu ugotov da poslan in minist niso kandid za papež tolik o preprog pa srečn,0,0
128,128,troha se proti janši bori z josip brozo primer za prisil psihiatrič zdravl res se mu je skisal kakor tudi njegov aposolkamsled če se želit nasmej obišč njihov site in poslušaj kaj ima gospodinjanatakar poved,1,1
129,129,uživaj v denarj lastnik el priključ dokler še lahko,0,0
130,130,tale mala pisod solat je dala od sebe 3 sredn skodel solat tole bo zadnj nato bom vso popul in na novo posej tolk da mate mal občut kolk se da nardit na balkon,0,0
131,131,petra ni iz njihov posveč gnezd,0,0
132,132,v naši hiši vse deluj in boli me za folk k se šeta sam ne pol zbolev k so tolko na soncu in ne depres moja hči dela v bolni in pravi da bo dala odpoved in se šla šetat da ne bo izgorel ker ne bo več predan pokli,0,0
133,133,stvar znača stvar neizživet narciz sovra do drug člove ni ravno vrlin in posebn torej nared iz imena izem in sem na enkrat v vlogi žrtve sist janša gt janšiz kot žrtvi mi je dovolj vsakr namišl samoob,1,1
134,134,slaba fotka in slab protokol pravil bi bilo da hojs stoji zraven sloven zastav grasov zraven kroats ne pa tako da zakriv sloven zastav pri protokol ne bi smeli šalabajzer,1,1
135,135,si ne upa mene pa zanim kdaj bo na kaki vedel,0,0
136,136,ta popotres upam vsaj da gre za tega je bil malo blažj a je trajal dalj časa zato je bil bolj neprijet ljudj iz višjih nadstrop v maribor javlj da prav jadra da jih vozi sem ter tja prvi sunek 5 3 drugi 5 tako da ni šlo za popotres pravkar javlj,0,0
137,137,nimam vpogled v vse aktivnos površ vtis pa je da smo morda malo preveč pasivn a pusti se pozit presenet,0,0
138,138,tak versk blaznež da praznuj vnebovzet in velik šmaren kera legend,1,1
139,139,šarec ni več aktua zakaj nabij bomo videl če boste tako kritič tudi pri nelegit janšev vladi,1,1
140,140,saj pravi da je to vse lepo in prav v normal razmerah zdaj priha do prevelik frek in posledič lahko pride do težav po pamet z nakup,0,0
141,141,notran minister aleš hojs danes obisk metlik,0,0
142,142,danes bi moral biti bergan na razdal večji kot 2 metra saj je žlehtnob kar špric iz njegov ust,1,1
143,143,pametn odgovor častn z lastn mišlj ki pa ga ne vsiljujet kot počno mnogi ampak ga ponuj kot izhod za civiliz konstruk debat oddaj ki je ne bi smel nihče prezr,0,0
144,144,absolut ampak mi imamo 25 000 nevlad organiz tistih kul je morda 10 procen prostovol gasil co naprimer,1,1
145,145,jutri ekskluz za radio gagašef parlamentar preisk komis ob sumu korup z maska bozo,0,0
146,146,kdaj boste svoje bicikl spamet tudi oni so grozn za raznas virus,1,1
147,147,tolik okužen nismo imeli od mesec april odkod prihaj okužen,0,0
148,148,počakaj malo zaenkr smo solidar in strpn,0,0
149,149,nihče od modrij nima ata ki bi bil vrhovn tožil in mame ki bi bila tesna sodelav ljublj župan kapiš nje nje,0,0
150,150,še en bedak ki bi celo zgodov prilagod komunistič diktatur in potem bi bili radi taki osli demokr nikol in nikdar krvav krist rojen v rdeči zvezd,1,1
151,151,dobro no nehaj kozle strelj ker tita ni nihče izvol povrh smo zarad njega največ izgub prav sloven in največ pridob hrvat jaz se resno sprašuj kaj je njemu slab moral nared sloven veja družin,1,1
152,152,sds tole bi radi pravnik to je v nasprot z zakon sds briga nas klin c gleda zakon sds čez pet minut probl so levičar anarhis ker ne spoštjuj zakon človek se nehot počut kot da je v zaprt oddelk,1,1
153,153,neubr s takšn ramos bo real težko zaustav sergioramos ramos realmadrid lalig,0,0
154,154,a niti unih 3 mesečn niso sposob nabrat pri svojih prist zajed,1,1
155,155,hvala za vpraš pozna velik igric si prebr moj tvit kater si koment bilo je vprašanje zanim da te vpraš lahko prizad prepr odkrit odgovor bi bil čisto dovolj,0,0
156,156,mehkuž preber si nimojpredsednik,1,1
157,157,hvala doktor da je to poved vlada vlada nekaj pa čemim ob čivkan hvala za to,0,0
158,158,odlič zagovor ga barbar zobec vrhovn sodni rs,0,0
159,159,razkrit vsebin koali pogodb za blagin sloven,0,0
160,160,razpol je potreb v prispevek in naroč lastnik pop tv da naj discip novinar na tej televiz saj so le ti prav tako študir na fdv so namreč preže s komunistič ideja torej kar naprej lagat še bo že kaj prijel,1,1
161,161,kako lahko razvesel svojo najdraž sodeluj v nagrad kvizu in morda jo boste lahko presenet s praktič daril t2nagradnaig danžen,0,0
162,162,vablj že čez nekaj minut k spreml oddaj ekstravisor na prvem progr v oddaj ki bo obravnav ranlj držav na področ samoos s hrano bo sodel tudi predsednik sloven kmečk zveze pri rok sedminek,0,0
163,163,iskren izpoved iz pasj zavet do zadnj dne bom vaš varuh,0,0
164,164,boštj pirc ali se ne sramujes svojih besed ker če se jih ne se vprašaj po svoji vesti če jo sploh imaš,1,1
165,165,googl objav podatk o sprem mobilnos zarad covid19 epide med sloven kraji so kar opazn razlik,0,0
166,166,res je na tem področ pa s svetlob leto prednos pred vsemi ostal medij vodi,0,0
167,167,sem mislil da je sloven poslan v eu in ne jesenis oz drzav juzno od kolpe,1,1
168,168,tako se pri nas za oblast bori lajaj in renc ubistv pa ves čas sejej,1,1
169,169,razli je med poznav zgodov in pa obremenjav z zgodov,0,0
170,170,velik večin bomo nekater ne bodo žal,0,0
171,171,še enega slavlj imamo danes med nekdan košarkar našeg kluba alen omić vse najbol zmajevosr,0,0
172,172,ni dobr razlog da ne bi vsak dan opozar do končn cilja,0,0
173,173,butl zakaj si se pa spust v projek manjš vlade zarad lastn ega zradi tega ker si stric poslu samo bonbon si delil nisi nared pa čisto nič za razvoj sloven enako kot miro pejt rajš nazaj med gasil pa v cerkev beril brat,1,1
174,174,kaj prina ne ukinit dopoln zavar po sedanj trend zvišev bi po ocenah zzzs nasled leto plačev 40 evrov če bo kriza pa še več za to so krivi poslan smc desus sds nsi sab in sns,0,0
175,175,pingopisofkej z desni prime slami 1 cm nad ošilj stran z levo roko držiš sok sredin levic prislon proti luknj za slami od zadaj in slami naravn navzdol potisn v za to priprav nastavek voilaž v oš sem bila faca ker sem znala,0,0
176,176,od petzvez hotel na obali v kater bo unovč bon sta ga ločil dobri dve uri vožnj z avtobus prvič v življ bo preno zdoma vijug po črnok ovink je zajetn telo ne najbol fit petdesetlet nepres metal iz težiš 1 2,0,0
177,177,posled mesca in mesciz bodo rajan po ulicah z odrez glava belcev kristj in vseh tistih ki sedaj poljub njihov noge in poklek v čast floyd,1,1
178,178,ko si hvalež da še imaš drva za tri večer da brezposel in prijav na zrsz brez nadomes brez social da kljub niste bili izbran za to delavn mesto da imaš dovolj koc odej da se ovije vanje itd še vrjam vase in na sončn dni,0,0
179,179,spet bluzi ti in tvoji nehvalež ilegal še legaln delav v sloven niso nek moraln zgled,1,1
180,180,po izraz sodeč kot da bi gledal slike iz lansk počitn na morju,0,0
181,181,ampak tole mahan z jugosl zastav je pa res od sile večin protestnik je premlad da bi sploh živel v jugoslav kakšn pravlj so jim natros njih starš in stari starš ne vem,1,1
182,182,slaba organiz clano mlajs selek ki so bili povabl na ogled tekme ni bil dovolj dostop v spodnj del zelen ringa pod ograj,0,0
183,183,in kaj na to poreč udbašica v grobu poden od podna kar se je od lopova ki je celo dijake pokradel že vseskoz pričak škoda ker je prej zasral celotn zunanjo politiko vključ z zločincem erdoganom in njegov pajda z njim skratka eden največ diletantov slo,1,1
184,184,virus se je možno izogn z izola bolez ni nujno smrtn pred leftar se ne moreš izolir s svoji masovn medijs agitprop bombar narod in mu perej možgan,1,1
185,185,prosil bi za vec taksn aktivnos in obves javnos o vladn nebulozah nekater to trdim ze od zacet a nimam domet,1,1
186,186,mal prej poslu kako nočej za delav po državn pomoč ugiba da zato ker pol si ne smejo dobičk izplač,0,0
187,187,tudi kralj plani bo enkrat krona padla z glave to ni dobro niti smisel,0,0
188,188,podatk o povpreč teži in staros za 8 marec kaj se je zgodil z branč in rožam,0,0
189,189,nivo komunik pa vedno prilagod sogovornik tako da me razumet tudi levuhar oligof,1,1
190,190,dokler ne padeš s koles ali te pober nepozor voznik nič na cesti je za to verjet majhn na kavču pa točno enaka nič,0,0
191,191,te cifre morat pogled vrag je odnesel šalo to norij je treba konča,0,0
192,192,ne je vpraš o tem ali je zadeb siste ali sporadič po moje je to najbol pomemb vpraš v tej zgodb,0,0
193,193,skupin na fb coron največ prevar stolet je imela dva dni nazaj 500 lajkov danes ima že jurja dezinfor se širij hitre kot virus ljudj bodo umrli zarad tega ki sicer ne bi sodno pregan,1,1
194,194,v italij 40 ljudi ne upošt karant vojsk bo na ulicah kaj pa naj,0,0
195,195,zakaj pa ti na sliki protes pa ne vem vem pa jih saj tretin nima kaj prida delovn dobe majo pa stanov od držav jaz kot tak pri stanov po jazbin nisem imel srece je bilo pred nakup decianoliz pa moral od začet gradit pa nisem nikol protes,1,1
196,196,lej lohk me maš za butla nerazgled in zaslep ampak brati pa znam tudi razum prebr imam osnovnošol sprič sloven jezik 4,3,1
197,197,če bi minister pravočas ustrez ukrep in se ne bi pridruž tisti ki so histeriz da panik pa res ne potrebuj bi imeli precej manj okužen manj zadreg in ne nazadn ne bi zapir celih klinik v karant kajned g šabeder zdaj nas pa glava boli,1,1
198,198,vi ste skoraj prepr v to kar pišet zanim ampak zelo zaskrbljuj tudi če sam ne maram šarca to pa ne pomen da ga krivi za to če bi vi razmi z lastn glavo bi sam razumel da to kar pišet je absurd in neresnič,1,1
199,199,zdrav je naša največ vrednot kajne via,0,0
200,200,tisti kulturnik ki je odvis od davkopl denar definit ni sposob za en drek imel je cas karant da se dokaz svojo inovat sposob kreat in kaj so dokaz nic od nicesar samo jamra in fehta davkop denar in to je kulturnik,1,1
201,201,mit o nedostopnos gora se je razbl zato previd in prava oprem za varno pot v gore ne bosta odveč,0,0
202,202,bernie ecclestone verstappen je postal dolgočas vettel je podcen f1slo f1si,1,1
203,203,do pol milijon evrov subven je mogoč dobit za uvajan novih izdelk v lesars,0,0
204,204,ius news v kater zadevah so roki tekli tudi v času epide v kater predpis je podlag za skraj sodnih počitn tretj protikoron paket ukrep nadalj uporab ukrep po zakon o nalezl bolezn iusinf gt,0,0
205,205,pet novinar ves čas tvita anti anti anti sloven in imajo skrajn levo politič mnenj ter nesra komentar kako lahko te osebe vodij ključn infor oddaj nacion medij zadnj mesec je vsak dan huje dovolj,1,1
206,206,in ta parazit na davkoplač denarj se posmeh podjetnik še en dokaz več da imajo levak zgolj slamo v glavi,1,1
207,207,čile več kot 100 000 ljudi zahtev konec nasil nad žensk v mehik je po ocenah vsak dan ubitih 10 žensk džizs in potem se eni e ven mečej z razprav o neenakos ali neenakopravnos žensk,1,1
208,208,ne jedel je čokolad banan polnj z alkohol casall style,0,0
209,209,no ja onemu debeluhar zadaj v rdeči majci malo hoje ne škodi,1,1
210,210,saj drugač ni moglo biti ob 20 00 je bil na milijonar ob 21 00 pa gorsk čuvaj neke prioritet pa moraj biti,0,0
211,211,in ja če bi meni kdo ponud da dobavl maske in ventilator za državn rezerv namest da bi držav kupov direkt pri izvor bi rekel hvala lepa ker moj obraz je v poslu vreden več od možnos suma korupt dejanj ok,0,0
212,212,koko pa to zgled koko mu poprav položaj rok al ma skype kej noveg pa ne vem,0,0
213,213,počivalšek tule zadan vse prave note razen zadnj ki jo pozab odigr koali zavez o izogib ideol temam gladk ignor protip vitje rok ne bo pomag sds bo nonstop testir do kam lahko gre it s what they do ceno bodo plačal ostal strank,0,0
214,214,no zdej pa že cajt da se tale doroth bratus zbudi in pride iz oza nazaj v kanzas butn skala cez zid vi đast id tajm nasled volitv ne bo več vodel dz in ona bi delal vlado,1,1
215,215,od kdaj je pa lobnikar strokovnjak prebilič strokovnjak,0,0
