,text,is_hate
108,fuck that shill bitch her daughter marri a fuck kike add her husband shill for israel cunt,1
109,you want talk scriptur i have read the bibl cover to cover time i would humili your googl knowledg and memoris media propoganda scriptur taken out of context bless israel refer too the land not a race the bibl veri specif say race doe not matter hundr of time cunt,1
110,it weird how you are the one who know about it but you are claim that everyon els goe so weird,0
111,wierd how everyon is gay except for you must be one of those the world is wrong and you are right conundrum that petul teenag go through except you are a jew and you are do the petul teenag routin well into your s,0
112,who said everyon is gay except for me so far i have said you are gay,0
113,quick check of your feed prove thi is a blatant lie,0
114,oh my feed show i said everyon in the world is gay except for me show me,0
115,you still believ you are import lol how cute,0
116,guess you could not i win again as per usual,0
117,how mani retard shield are in your cabinet now last time i check you need a new unit,1
118,i use you as a shield,0
119,the nfl is a jew ploy to over pay nigger to unbal the white economi and enrich them enough to infiltr tradit white commun to break ground for more nigger invas,1
120,torba decis to ban loli porn is justifi anim that sexual children are a slipperi slope to sexual real children it a disgust concept and it is not freedom of speech it content that cater to pedophil plain and simpl,0
121,the retard tv gener is into some retardedli not attract porn,1
122,i want one i do not care call me a faggot ill be that faggot without that cold sore from a herp or hep infect glass that wa haphazardli wash,1
123,jack dorsey admit it wa a joke when he said twitter stood for free speech,0
124,i want to beat jack dorkey face to a blood y pulp just for the fun of it doe that make me a bad person,0
125,start by rip that snot ring out of hi faggot nose,1
126,marin le pen is right,0
127,hmmm id rephras it the divid is between the elector and the globalist everyth the globalist do is to rob the elector of sovereignti,0
128,given the white elector start with the sovereignti i wonder who thi new globalist could be,0
129,anoth lunat jew hater to mute,0
130,i guess that is huh acknowledg that a certain group of peopl are over repres in the new world order tm is now lunat jew hate,0
131,you sound like sjw twat about white be over repres onli racist care so much about race your hatr is lunaci consid most of it wa pen in and you are still use the same sorri shit,1
132,when it wa pen is irrelev it is a fact that there is a clear and massiv over represent far in excess of the overrepresent of straight white heterosexu christian men of a certain group in the field of busi financ polit govern media and entertain that drive the develop one world govern and structur these same jew care about race everi bit as much as virtual everi other race except white peopl,0
133,deepblu believ me black and latino are obsess with race they are the racist they are so racist that they believ we are racist the reason the vast major of white are not racist is bc they have been relentlessli hammer year after year decad after decad to be terrifi of be call or thought of as s racist if you are even remot perceiv as be racist you can expect to be social gang rape in your busi circl of friend your commun or your constitu you can expect to be ostrac and lose your job without consequ to your employ you want to know what white peopl are racist white peopl that have a lot of experi with black where their number have reach a kind of critic mass where they lose fear of law enforc and have the number tovexact physic violenc on those who stand up to them and never one on one you have a problem with one you now have a problem with their entir circl of friend the racist white peopl are the white peopl that have to live around them go to school with them have to workbwith them and go to the same groceri store and same wal mart they do if you are not racist you do not live around them or you are a sucker ass chump punk wyte boi that deserv to be forc to live in the heart of the ghetto,0
134,some are just like some white are anyon who obsess over race is a racist thi includ you you do not get to act like sjw and act like it cool when you do it it not if you think you are be discrimin against get proof take them to court were alreadi see titl ix chang pace in some colleg black are of the popul,0
135,discrimin against i do not fuck care if a nigger discrimin against me i expect it black are of the popul yet commit of the homicid and when you factor out the old handicap and children it more like of the popul commit of the murder fuck that,1
136,actual less consid some of the perp are male so you have an even smaller portion commit a shit ton of violent crime if you remov gangrel activ you approach a normal number howev my point wa discrimin is bad when it violat right,0
137,govern is the onli entiti subservi to right the peopl must not harm i do not have to allow nigger in my home and i can deni him access on the basi of no other reason than hi race,0
138,back to thi silli access shit again if you live in section hous you do not get to pick your neighbor fuck you do not get to pick your neighbor anyway do not like it get off the tit or gtfo my countri you also do not get to control who enter public space or not,0
139,there should not be a tit and most would leav if there wa not,0
140,no no you want to talk section thi wa your point now you want to drop it when it blow up in your face like i said befor typic wn clown,0
141,npc cuckboy,1
142,poc piec of cunt,1
143,who is more grotesqu a white who,0
144,do we even call a mental handicap person a retard anymor you just could not figur out what the correct term wa that most normal peopl call a mental handicap person,1
145,i will not even adjust the time on an engin anymor for fear of use the r word,0
146,meanwhil in nyc some idiot retard lefti put these up and just gave everyon more reason to vote red tag for q drop sauci notabl and break news the list is get lengthi and if you do not have a pro account you can not hit the star and favourit an accountgabb so i have creat a topic which you can do that to there is space for a coupl more add to thi list thank you all so much gypsi standingstrong bodyhashead easher wiilluc rbril meeceq bill truthnotfm trillium bluebel theniceterri kimfoot trustgodwwgwga gapatriot judyadam staticanonym broncomomjsk girlwithaclu khadaffiduck wonderfullydeplor sorrel lana spuncopp kasikirbi imawak janaflow puddiepi billiesman wanagl jasonzhaddad ddt reversethi restrainingorderdav redbeard mudcreekmelodi mhugh squirrel qpatriotanon dignbon badbrad ianforbritain cathyfay cyrano mbarri cecilrop thesentri oakvalley hamuf alicemari kriswithak smileyshellygeirmund brittwoo millwood quodverum reefz preppedtogo patriothelen janisu jgk martavonrung lovebeingadeplorableqgirl alaskaraven gameoftrump alvinb kimharm jonc jonc breakingspectr callison seldomseenkid paratisumu harleych livinbygrac realjessecox beelov lsherwood isabella,1
147,so glad to see these moron wreck themselv,0
148,unbeliev,0
149,start with deport all muslim,0
150,the futur belong those who destroy islam the sake of human,0
151,is it in spanish too,0
152,yeahforget that the sign impli violenc against those who wear a maga hatignor thatth real issu for nyc is the unlaw defac of citi wast basketssad,0
153,great observ kc it doe impli violenc do they know anyth but hatr and violenc i think we know the answer to that question,0
154,sadli but true,0
155,where is sabo when we need him sabo the east coast need you,0
156,while i disagre with their opinion i am amaz and stun that someon on the left can meme in the three year the alt right ha been crank out moab after moab thi is the first time i have seen return fire incom you do not figur they are hold a kekistani against their will do you,0
157,our meme never condon physic hurt the left though thi one give the impress that you should,0
158,even our pinochet helicopt one,0
159,what thi sign realli mean is no us constitut commiecrat hate our freedom,0
160,can not control us if were free,0
161,they have never had control of me,0
162,depict of white peopl thi is pure racism,0
163,barack obama is half nigger and half jew but he demon from the pit of hell,1
164,as bad as the communist are radic conserv will vote for and support a giant polic state that can then be hand over to the communist,0
165,let me guess you would rather have a radic liber democrat polic state which obumm alreadi had roll big time vs a conserv state which tri to let you have some right killari would of had us in ww by now by design,0
166,rex your a funni guy the cabal or elit want never end war to control you or kill you to keep you in fear seem to be work well,0
167,the boomer are the exact opposit they just sit back tri to look cool while the countri goe bankrupt and is over run by welfar whore,1
168,blame boomer for your inadequaci will not cut it go find someth els to whine about,0
169,i know you have had a lot of experi vote for devil worship then walk it back then pretend like it the kid who built thi cultur be the whole world is look at you in amaz,0
170,isst thi great all these boomer do is blame the kid for how mess up the world that they built is a sad gener,0
171,the blame is spread across multipl gener we are the first set of gener to be awak the cleanup is on all of us,0
172,the boomer never engag in protest that shut down traffic boomer never set fire to build and loot innoc store boomer never attack peopl who spoke their mind boomer never engag in transgend surgeri get a clue dummi,0
173,i am a boomer you chang the argument like a liber,0
174,i wa born in i think that make me a boomer,0
175,then you rememb retard liber go crazi in the s,1
176,absolut over the year liber have onli chang by the fact that they have produc that mani more ignor sheepl,0
177,the fight is good vs evil it ha noth to do with divid us by gener or race or gender that is what evil want we all need to fight evil young or old black or white male or femal,0
178,good point kentoni agre cmon over for a beer,0
179,a quot from some random place on net just post here becaus it funni and true civil liberti and freedom in america that is a fuck myth you can not even not bake cake for faggot marriag without be insult as a bigot,1
180,sjw whine that dwayn the rock johnson is not black enough to play john henri dwayn the rock johnson is get flack for cast himself as an africanamerican folklor legend in an upcom daili mail octob,0
181,yet they have no problem cast black in white role i do not want to see a nigger play georg washington fuck the idiot,1
182,id total go on that show my lotteri dream home when i win the billion tonight if that faggot that host the show let us me run him over with a steamrol in the driveway of the mansion i choos gay faggot,1
183,read that clearli the violenc and screech and scream will not stop until they are in control let them pitch their hissi fit like year old and thug keep arrest them or ignor we will not stop win fight kag elain,0
184,cunt,1
185,it is imposs to figur out if you are a year old or mayb there are a lot of retard here so even retard peopl can figur it out so what is it stupid than the retard,1
186,new jersey muslim inmat sue jail charg discrimin against muslim islam jihad us,0
187,look like a nigger to me,1
188,my predict by were go to see two landmark case in the us suprem court us vs clinton and us vs obama what do you guy think the decison will be my guess is to,0
189,hope spearchuck obama goe to jail and get rape everi hour,1
190,that might be tough ill bet that nigger ha money spread out all over the world that billion he and cankl stole from the state depart is probabl spread around to hundr of bank they need to send delta forc in to take hi ass out you know those guy would love to take out obama,1
191,red nigger skunk are not peopl hrdmu you know that,1
192,that is not a reason kalama it a campaign slogan kind of like hillari stronger togeth yet all she is done is tear thi countri apart result matter job job job vs those job just are not come back ill stick with the magic wand,0
193,i wonder if her view on equal includ a qualiti cunt kick session,1
194,give the boer refuge statu in america then cut all foreign aid to south africa and their neighbor countri when communist china pick up their tab and they are beg for the white devil to save them like the nigh jeer in zimbabw are put economictrad sanction on them and watch them fuck starv,0
195,no china want control of africa for it resourc just like the rest of the elit gold and diamond mine etc,0
196,that is what i wa say the onli reason world power give out foreign aid is to control smaller countri but under the control of china they would lose their black popul just like uganda with everi pass day these function retard averag iq of peopl put themselv into a deeper hole for their futur i say let them burn,1
197,pelosi endors collater damag to those who do not share our view so be it liber more headlin,0
198,get on the front line cunt quit mouthin off get out there,1
199,check out my music page,0
200,fuck off nigger,1
201,fuck off nigger boy,1
202,nypd look to charg proud boy with assault for manhattan fight three protest describ as antifa are also want after polic say they threw bottl and punch dure the incid mask antifa attack suckerpunch some proud boy and got their ass kick which is whi the nypd arrest three antifa attack and no proud boy i am just about certain they are now move to charg the proud boy at the direct of uberliber mayor deblasio daili beast,0
203,get the phuck out of all the citi you are retard if you think you can be an activ rw activist in these seditionist hellhol,1
204,actual i am glad they are will to get into the face of the left on their own turf the left should not be allow to own ani portion of america total unoppos,0
205,they own the citi they are ask to be imprison and rape get out now,0
206,the british and their tori alli onc own boston until a few brave patriot stood up to them some at the cost of their own live freedom is not free run away like coward is not the american way the proud boy are do the right thing for our nation we should support them ani way we can,0
207,the demograph of boston circa wa quit differ from today new york citi new york citi is not americanor is la sf austin miami or a plethora of other citi they do not acknowledg your right accord to you by god to defend yourself with a weapon whi make excus for the caulk sucker in the citi fuckem,0
208,pleas do not falsifi my view i made no excus for ani lib and you know it we give no ground to the enemi if you want to surrend chunk of america to leftist you are entitl to your opinion but do not expect me to agre with such defeat,0
209,if you live in these enclav you are feed the beast with your talent work tax an tacit consent to rule you you are argu for fratern with the enemi,0
210,donald trump live in nyc so do a lot of conserv that fight leftism everi day of their live instead of run in the face of overwhelm odd they will cede no ground to the enemi thi is the true american spirit,0
211,show me where the leftist are lose due to these heroic conserv warrior,0
212,what a complet brainwash cunt i feel horribl for her kid we should probabl call cp to make sure they are safe,1
213,i got your merrick garland swing between my leg nigger fuck,1
214,the muslim nigger obamaosama need dead,1
215,zuckerberg face anger over facebook exec kavanaugh support,0
216,how retard can peopl get do not ask,1
217,jewish own global bank giant goldman sach ha declar that cure patient of termin ill such as cancer is not a sustain busi model jew are our friend right israelfirst,0
218,michael are you a child or do you just act that way on the internet suppos that american jew are in ani way associ with jew in their nativ land israel is so ignor as to call into question your saniti judaism in america is in no way a reflect of that in israel in america it ha taken the least path of resist and gone full leftist,0
219,as i said previous you argu like a child although with addit feedback id argu a retard one at best,1
220,the more i see the gener attitud of nationalist the more it seem the will of european men ha perman wane away we endlessli discuss a disloy gop parti we take no initi to save ourselv what will those of us who bother to have children tell them about the nightmar we are bring them into sorri son i vote republican i am disgust,0
221,if we assum everyth you said is true it cut both way what are you go to tell your children sorri son at least i complain to peopl who vote republican like it or not the gop is the flashpoint in the polit struggl between jew and gentil the jew spent one hundr year march through the institut it not realist to expect that we would claw those institut back from them overnight or over the cours of an elect or three,0
222,the gop is as irrelev as the conserv and the christian socialist were in hitler time someth new must be built,0
223,sorri son at least i ask republican voter to build someth new still cut both way,0
224,i built what i could i wa slander deplatform left on an island alon it wa not just antifa polic fbi the right wing vicious attack me base stickman tri to goug my eye out in a hotel proudboy shut down our event antifa style my famili wa threaten and despit everyth i did the slander wa believ and what i built wa destroy,0
225,i am afraid it will be noth to what my son will face if someth doe not chang,0
226,i do not see how the current trajectori will chang if white remov themselv from the polit process that is whi i stop talk to libertarian and ancap,0
227,i do not think street action and movement build are abstent from the polit process continu to vote for peopl who do not repres your interest and who desper cater to peopl who hate you is wors than abstent i am go to blm disrupt a berni sander event dure the elect is whi those peopl have power,0
228,they will not wake up becaus we continu to vote for them so they work for vote they are not get if they get scare for one elect they might worri about what their white constitu want a littl more,0
229,again you are ignor the fact that caucus exist you are ignor that these peopl can be primari out it start to get obnoxi you can achiev everyth you want to achiev through nonparticip accord to you if you are right you will be abl to demonstr it even if i do not agre with you which i do not agor is not go to work sorri man,0
230,onli a moron would think we are safe with trump,0
231,trump may not be our guy but he prove in the primari that it possibl to mount a success primari challeng against multipl deep state insid and media favorit ron paul wa a cunt hair away from achiev the same himself,1
232,jare i love ron paul but unfortun ya caant do much with a cunt hair or even a red cunt hair,1
233,whose the nigger guy on the far right with the wig,1
234,whi that is michael howev i am look at bush sr and it appear satan ha alreadi claim of him befor hi final breath seem like a breach of contract to me,0
235,oh yehi should have known,0
236,hahaha goddamn that photo is depress do you think bush is still in on the blood orgi,0
237,soprano that is a hoot,0
238,marker i do not think so look to me like they have been drain him becaus he bout to go anyway he takin one for the gipper,0
239,scull and bonesal of them,0
240,soprano bingo,0
241,alyssamilano if men have a hard time right now that is the way it ha to be for us to have the equal and secur in our countri,0
242,poor stupid cunt doe not have an onc of brain matterne to get a better script writer,0
243,break trump prepar to cut un fund over it support for illeg migrant caravan,0
244,then tell trump to quit prepar and just do it,0
245,million wetback plan to be sent here by the un not includ the nigger street shitter goat fucker and ching chong jesu thi is a fuck mess,1
246,i am start to question if the butler plan is go to be enough,0
247,i think we need a few nuke,0
248,i think we need to get our hand on dr vladimir gavreau research,0
249,i think it time that rap music be given hz backbeat it will sound great in nigger car,1
250,i will be team with borzoi from poz button for a new program stay tune,0
251,a chinaman and a commi team up the great proletarian cultur revolut is upon us,1
252,octob treason trudeau govern tri to help isi terrorist includ jihadi jack come to canada fair use spencer fernando,0
253,well obama gone somebodi ha to do it,0
254,sort of sad obama is gone all us white boy need to have a nigger around to laugh at,1
255,lier are you a retard or someth,1
256,useless nigger,1
257,i hope thi is not red on red crime,0
258,how is that possibl sinc small pox ha not been in the world sinc or so,0
259,how is a person a retard by state fact,1
260,i still rememb one of my follow keep in mind a gamergat got on my case a few week ago when i said that moviebob wa a pedophil umm carl that is pretti damn you can not just say that where is your proof proof you dumb fucker proof is thi fat needl dick faggot rub up against littl boy while wear a mario costum just wait a year for proof,1
261,peopl should not be scare into think that they will not ever have a nd opportun to prove they can be righteou ye the first time they die is appoint for them so they can see what the end result of sin bring ie nuclear war and total decim of the popul but the nd death is the one that is etern not the first one,0
262,book chapter vers,0
263,ask you a question is spew lie nutcas i did not ask you to impress me i ask you where i can verifi your posit in scriptur that is when you act like the cunt you are way to repres yah bitter littl idiot,1
264,the dailystorm is respons for the protrump spam weapon antisemit they are abl to divid jew into two group liber and zionist by demon the openbord jew they effect tie antimulticultur to the prozionist movement jew creat the problem onli to offer their own solut dailystorm is mossad,0
265,mossad got the lulz,0
266,oh sorri to repli out of turn i am retard,1
267,i see you will play your littl lawyer game until you can not answer my question ehrmantraut then you shut up and pretend it never happen good luck cri about gun here on gab you are go to need it,0
268,you are just mad becaus i point out that you do not know your ass from your elbow,0
269,lol a california faggot who ha never seen a glock pretend to be a lawyer on gab on a mission to sue them keep run your cocksuck it rain here today and i am bore,1
270,let the individu been seen and heard,0
271,npc nasti pathet cunt,1
272,she think she is relev enough to be recogn in public imagin be thi egotist over simpli not be shot,0
273,dumb cunt think her opinion ha done anyth but increas gun sale and add gun owner bitch need one of these,1
274,da fuck is thi all about lurk around graveyard at night seaneast queensweari,0
275,what the fuck debbi is a proper fuck smackhead it probabl all start in graveyard snif glue when she wa,0
276,stop be a massiv nonc cunt and get laid you fuck incel,1
277,haha silenc debbi you filthi fuck smackrat,0
278,i can not tell if she is kind of hot or if she kind of look like a flounder,0
279,waynetta,0
280,haha she are not hot bag,0
281,she can not she ha to give it away for some weed what a ferk dog,0
282,cum to muh bedsid luci labianca i have got some girth that will make you squeal call me groper von when you climax,0
283,import notic as you know mani conserv account actual thousand have recent been purg from facebook for fake news thi account deepstaten is run by a leftist woman by the name of conov kennard who post my husband and my person inform in one of her articl includ our name the town we live in and other privat inform she actual call the polic depart and threaten them claim if they did not fire my husband she would make them regret it what a loon ye the polic just laugh but her follow sent death threat rape threat to myself and our child threaten to kill my pet etc her action had consequ for us that last over a year leftist follow thi woman lead even came to our home place dead anim in our yard file fals report with dcf and swat us in an attempt to have us kill i could not let our child out of my sight her follow post photo of themselv in my town whi am i tell you thi becaus i need a favor i am ask you to report the page as fake news and ask everyon you know to do the same just click on the dot in the upper right corner of each articl and follow the prompt thi is one way to put the left in their place pleas help me pleas share thi post on all your social media and thi page as well pleas peopl like thi need to be erad by ani mean necessari thi woman cannot get a job her blog is her onli sourc of incom,0
284,no andi ms kennard as it turn out is not the owner of deepstaten pleas do tri to get your fact straight i know that is a challeng for you befor fool your rube follow into go on anoth harass campaign ps you are still a yuuuug punchlin on twitter you are welcom,0
285,the heroin addict certainli is the author tell her to say goodby to her account,0
286,angela schmidt pauli is unabl to read analyt were she abl to she would notic both stylist and grammat distinct between my write and conov there are two other thing she need to know i know her husband conov kick her addict to heroin wherea angela cannot kick her addict to need attent,0
287,est not white peopl she said women specif thi jewish supremacist woman mean white men deserv no civil or human right,0
288,i have never met a lisa that wa not a cunt,1
