,text,class
71,may they all get mad cow disea,1
72,the sooner the better,0
73,yeah but no one will ever hear of thi,0
74,instead we are left to she would a tear for the black kid kill in a church bomb year ago,0
75,that is all i need to hear,0
76,unsubscrib off to the sa thread,0
77,there are white folk that requir a littl of our time,0
78,i guess mr pena forgot about the black speed skater who won the gold and is be glorifi on nbc everi minut,0
79,i am sad to find thi out right now but i m also sorri to inform you that kevin wa kill sever year ago,0
81,i am have a hard time believ thi,0
82,i have friend in cs and neither ha ever work with a black,0
83,all their cowork are white ne asian or indianpaki except one guy work with a mestizo for a few week on a project,0
84,hundr of peopl but no black,0
85,i also attend a mastersphd graduat ceremoni at a major state univ a few year ago none of the cs degr were award to black a coupl comput degr went to black but they were in it with a focu on internet marketingwebcommerc so where are all these black comput geniu hide,0
86,over and over you hear about homeschool kid beat out public school kid for spell bee,0
87,unfortun there are some poor white famili where both parent work,0
88,perhap if a school district ha onli a few white famili left they could get togeth and each parent could teach the kid one day per week,0
89,the parent who could nt teach on weekday could teach on saturday,0
90,that wa me,0
91,i have no intent of ever set foot in mexico so i will have to take your word for it,0
92,excel articl whi were nt they in jail,0
93,three of the four suspect in the death of a yearold moor counti girl were repeat offend free on probat,0
94,steve reed report three of the suspect charg with the murder of a year old moor counti girl were given suspend sentenc for other crime and were free on probat at the time of her slay,0
95,perri ross schiro of harnett counti wa charg yesterday with murder in the sept shoot death of emili elizabeth haddock,0
96,he is the fourth suspect to be charg with her murder,0
97,also charg are sherrod nichola harrison michael graham curri and van roger smith all of cameron in harnett counti,0
98,two of the suspect mr harrison and mr curri were repeat probat violat,0
99,onli mr smith had no prior crimin record,0
100,mr schiro the latest suspect to be charg in the kill wa arrest when a calib handgun possibl the murder weapon wa found in hi car,0
101,he wa also charg with burglari larceni and possess of stolen properti,0
102,all four suspect are be held without bond in the moor counti jail,0
103,the rest of the stori,0
104,nevermind found the new page knew it had to be a groid ani report of rape,1
105,surpri it came back so fast,0
107,obama ha membership in princ hall for black lodg and will becom the next presid accord to thi guy youtub v nlfrsregii zagami youtub,0
108,they act as if negro with aid should have the right to reproduc when they will die off and have no way to take care of the kid i can not believ that they are do thi by the million it crazi,1
109,good,0
110,i hope they all starv,1
111,no white person should send a singl penni or lift a singl finger to help them,1
112,he is a retard feral negro ye feral human who cannot talk occa pop up have been abandon as children,1
113,he walk upright and ha human arm and leg,1
114,i ve seen negro who look and undoubtedli act like him,1
115,aragorn,0
116,again everi time i will see filthi comment about georgia without provid ani fact i will respond,0
117,i will respond until armenian scum will stop,1
118,the reason larg white famili were encourag those day wa to build up the popul of white german which were ravag by the jewish attack at them dure ww and in hyperinfl s,0
119,i see a nation where i can walk out my front door and not feel like a minor in my own countri,0
120,where a white woman can go about in public and not fear assault by mud,1
121,no i see that as give up,0
122,i hope one day to proudli say again that i am an american when we take thi countri back,0
123,btl,0
124,ok i have been through some of the other thread on thi section about ns and watch a few video on yt,0
125,it ha obviou been misunderstood and i would been keen to learn more,0
126,i retract alway alway becau an anim lack the skill to properli rai a half human child,1
127,i apolog for my ignor,0
128,babi step,0
129,i do nt think anyon is insinu that we are equal to non white or that we would ignor white nation,0
130,when most white today have so much white guilt laid upon them that they feel they have to act black or have sexual relat and children with black just to be accept there is a problem with the white race memo,1
131,these peopl have no idea about who they are or where they came from and ani knowledg that they do have ha guilt attach to it,0
132,if white did have some knowledg and a littl more recognit wa put out there i think most of them would feel a littl more pride of who they are and stick to the white race,0
133,there should not be problem between the differ class insid the race white sinc we are all white they should be join to fight against nonwhit they are our enemi,1
134,if a person is white and he is a christian or a pagan then i consid him as my brother or sister no matter whatev profess he is into,0
135,can you give ani exampl of progress made by skinhead or the klan,0
136,seem to me they are in precipit declin,0
137,i have been around here for four year and seen almost no class divid,0
138,i do not realli like even talk about it becau i fear we will creat a divi where there is none,0
139,black womenon london transport,1
140,racist woman rant in london part youtub origin racist black girl fight south london railway balham to mitcham youtub,0
141,quotetrotisisnt south african chocol made by oversea compani base in sa british and swiss would a mar bar tast differ made in sa compar to one in england quot i would have thought so too but the stuff tast differ,0
142,i think it ha someth to do with the type of sugar or where the sugar wa origin grown,0
143,btw i do nt recal see a mar bar in sa,0
144,i never drink diet anyth either becau of the aspartam and water is for the fish,0
145,i tri to avoid the gmo stuff too but sinc they do nt label the stuff it s hard to do,0
146,and then you need to avoid high fructo corn syrup bad for you and made from gm corn,0
147,you also need to avoid anyth soya,0
148,and then there is the pesticid on your fresh fruit and veggi,0
149,and the none chemic in the process and sometim not so process food,0
150,in the end the onli safe thing to eat is grass if you are lucki enough to have your own garden or grow your own food if you have the space and hope to hell the govern here doe nt do chemic spray,0
151,hell the way we are delib poison ourselv i m surpri we have last thi long,0
152,if not kept in check we may veri will be live in an actual planet of the ape soon,1
153,youtub xa kenya hack to death by panga in front of film crew xc rlm,0
154,racist attack by black on a young white girl in franc,0
155,negro hold the camera laugh with glee dailymot agress racist contr une jeun fill blanch franc une video news polit,0
156,what happen when popey s run out of chicken youtub popey freakout ghetto ver,0
157,doe contain alot of profan so you have been forewarn,0
158,negro rainforest music,0
159,if you click the video the video comment are full of selfhat white youtub baka rainforest peopl yodel,0
160,what the,0
161,nonmuslim michigan high school student wear hijab in school for class lesson to explor religion and ident pamela geller atla shrug,0
162,i have nt been abl to finish watch even one of these video,0
163,as soon as i hear them utter their monkey gibberish i feel like smash my comput screen with my fist,1
164,that would be too expen,0
165,thank,0
166,i hope thi will catch on like the word,0
167,if anyon want to post it in other forum feel free to do so,0
168,it is veri hard for averag white to see their own disenfranchi let alon realiz that it is plan,0
169,thi is becau much of the disenfranchi is by way of destroy white cultur ident and pride,0
170,so contribut and particip in ani way to opportun to instil pride in white ethnic heritag and even white american ethnic heritag will go a long way in help them recogn what is be taken away,0
171,pffffft,0
172,i have seen that crap too and thought wtf,0
173,i can pictur him as that babi monkey on the save the rainforest comerci or whatev,1
174,the onli thing hold us back are our traitor and the billion antieuropean peopl of the earth that flourish on our technolog,0
175,thank for save the pictur but the one i saw wa a black guy look at a laptop and a white girl sit next to him laugh and hang on him also look at the laptop but they did nt show what wa on the laptop,0
176,they were in a live room sit on the couch impli that they were a coupl,0
177,it realli sad how so mani white just do not even care and there actual happi that thi is come to be,0
178,there is more sex and sleaz conden on the shelv of the check out line than you will get in hour of tv and hour of tv is lethal to your spirit,0
179,and her husband is tom bradi thi goodlook white nordic guy here s a photo of them with their white children,0
180,i actual celebr black histori month,0
181,i have a dream one of these day black occup of america will be histori,1
182,patholog killer they are,1
183,jew have been poison well sinc biblic time,1
184,no wonder we are in such bad shape with thi tribe in charg of the white hou and congress,1
185,the jew repr the snake,1
186,all you need is to cut off it s head and the rest of the problem will crumbl away with ea,1
187,i hate to see such beauti white femal becom victim of these sick violent merciless anim,1
188,separ is the onli answer,1
189,white power,0
190,white american and white europeon have too few children,0
191,other than the amish no other group of white have larg famili,0
192,honestli the better idea is privat school for our peopl the averag parent is a poor teacher,0
193,the muslim have ultra strict racialist privat school the world over whi do nt white,0
194,while they are in prison the kike should get the same food the regular prison popul get,1
195,who the hell care if it not kosher,1
196,thi is nt the local diamond hilton situat on some sunni beach,0
197,i have felt anger when i ve read it on forum but we have to do our part and speak at loud voic thi fact becau for exampl i m from europ and thi fact is not pase on tv news or in the news paper know your enemi is the first pass for vicori on them,1
198,we do not care about alaska while it is not white land,0
199,we are more concern about zog control us and russia,1
200,whi do nt white european and american grow a set of ball and deport these black and brown anim from their countri,1
201,anoth euroru updat more video and photo gvideo docid gvideo a fascin conver between dr alfr vierl dr duke,0
202,kri roman jan kristel dr alfr vierl dr david duke thieri van roy frederik ranson andrea thierri stephano geka,0
203,robert steucker and dr david duke gunther van den eynd en dr david duke euroru,0
204,euroru for a great europ from gibraltar to vladivostok,0
206,what would you have done instead,0
207,ignor the genocid on serb turn your back on your own peopl,0
208,then you are a traitor,0
209,ivan ivanovich shishkin januari march fell of forest landscap with a lake at the seashor sketch birch grove view at a neighborhood of petersburg swiss landscap forest on the eve of thunderstorm oak forest in a grey day sketch swamp,0
210,woodland rain in an oak forest,0
211,finn mix with swede and got blond hair and blue eye but ethnic finn look like tatar dark hair dark eye short height round face,0
212,the reason alcohol take around live everi year,0
213,aid around everi year,0
214,emmigr around per year,0
215,heart disea around per year,0
216,high mortal rate like countri is at war,0
217,lowest birthrat in world,0
218,attaboy putin,0
219,if i were in the audienc i would clap till my hand were numb,0
220,that s tell worthless sofb like cheney what they can do with their cheap word and crocodil tear,0
221,i have long love tchaikovski ballet and mussorgski opera and now i enjoy russian tradit music as well,0
222,i just bought two cd s featur the russian radio choru orchestra orchestra vladimir avramow and st petersburg balaika ensembl play such song as st petersburg whi should i be sad dark night the long way wolga so mani day nastassja two guitar field haida trojka bandura tschubtschik troika the cossack our littl villag stenka rasin and mani other,0
223,i wa recent in zaporoji ukrain which ha a famou cossack enclav where i had the opportun to dine at a cossack restaur and listen to tradit cossack music play live,0
224,listen to thi music bring back memori of all my visit to russia and ukrain,0
225,oh so we cannot post on thi subject becau at thi moment in time we are not in the same area as you whatev so i will wait mayb until next spring when i go to lodz and jp should wait until he start school thi winter in bratislava then can we post plea sir,0
226,i keep tell peopl about thing like thi and they never believ me,0
227,i want to show them thi thread,0
228,thi is great,0
229,it wa until kveldulf saw fit to open it up again with hi unnecessari comment,0
230,i have to go to work now,0
231,hispan a woman threw her yearold granddaught sever stori to her death from a walkway at a shop mall negro polic arrest a yearold who they said burglar a home over the thanksgiv weekend,0
232,jacksonvil polic said brian william broke into the home on braddock road while the famili wa out of town and bake browni drank orang juic surf porn websit and load up the victim s car with bottl of liquor,0
234,sex male race black dofb height weight eye brown hair black in custodi for misdemeanor count of crimin trespass nd deg thi dude look like an old version of corni from planet of the ape,1
235,lol,0
236,you can have your site on odin rage but host your pictur and zip file somewh el like geocitiescom becau odin rage doe not give much room,0
237,do not want to ruin the spirit of the mood but are nt russian for the most part orthodox christian and they have a differ day for christma,0
238,i think it is januari th or th not the same as us,0
239,becau the communist parti wa almost all jew out to kill ani gentil that stood in their way or had properti that the jew communist want,1
240,coupl befriend negroid negroid tri to burn down coupl home nnn report newsroom forum mobli coupl say neighbor tri to set their apart on fire report by irika sargent last updat pm mobli coupl say neighbor tri to set their apart on fire localtvcom mobil pensacola news entertain video busi search and shop thi is what happen when you make friend with spearchuck,1
241,coach accu of fondl student student s mother alert deputi after find note post monday march updat am est march pedophil alert robert bennett,0
242,just got turn on to a websit from a friend of mine,0
243,show some interest statist about the jew rat,1
245,it is sort of like the black comput geniu that onli appear with ani ubiqu on televi or in the cinema,0
246,i know they are probabl out there but i ve never met a black it profess who wa nt exclu in sale,0
247,have you ever heard about death mask of franco,0
248,one day i have seen it on ebay but i m not sure about authent of the mask,0
249,is thi group in sweden genuin or are they thiev who steal money but never send the good you order,0
250,can ani swedish comrad tell me about them,0
251,she is white but look somewhat below averag for a white swedish girl i think,0
252,whi do the swede hide their best look femal,0
253,i must just say befor thi thread possibl die that i have great fear that without action the becau will die along with the rise of multiculturat,0
254,gldelig jul,0
255,my norwegian uncl ha been visit and he ha share with us some thing about christma celebr in norway,0
256,interest,0
257,i also have been talk to a person from denmark and i learn about gingerbread danc around the tree and the variou custom of jul dinner place present under the tree desert danc around tree open present,0
258,i found it to be pretti interest and i hope you all had a gdelig jul,0
259,ca nt wait until tomorrow,0
260,i had actuali written th epost for last summer but had to cancel my trip so it is ok everi bodi cool l shann,0
261,lol ok i give up i just had never heard that specif word befor and it wa nt in my dictionari,0
262,and sinc i m not realli sture allen or horac engdahl i ca nt say if it s in svenska akademin ordlista,0
263,i think some of you are a bit wrong on thi one sinc our race is our nation when will you learn,0
264,it make me so damn angri that the swede ca nt see it,0
265,the black and brown are detroy sweden and nobodi doe anyth about it madex madex madex,1
266,the onli thing manipul here are the mind of few foreign who reckon they can live amongest superiour pagan blood,1
267,det er forresten en ting til orkneyjar vil si deg tack sa mycket,0
268,what say you of jotunheim,0
269,do you have ani figur on thi,0
270,i m pretti sure that ten of billion are sent abroad everi year even though stay in sweden,0
271,hmm let s tri again view by number of asylum seeker per popul,0
272,these are much more import in my estim,0
273,for instanc the you let us in about peopl legal everi year while canada let us in about,0
274,howev in percapita rate you legal immigr is at about per annual while for canada it s about,0
275,thu shockingli canada may actual achiev a nonwhit major befor the you doe,0
276,denmark assum popul of million good job denmark,1
277,let s see it get down to zero,0
278,norway assum popul of million sweden assum popul of million iceland is at about,0
279,finland howev use to be veri low but it s now higher than denmark and nearli as high as norway,0
280,by per capita takein norway wa the worst in but appar the norwegian crack down in and they are now lower than sweden s rate,0
281,aragorn,0
282,that is good news when i wa in norg,0
283,the onli black i saw were somali and they are a cross mix of black and arab,0
284,no it s not possibl,0
285,read the earlier post and see that there are still lot of nonwhit come to denmark,0
286,i do nt dare to look at them,0
287,you should see what my grandma s hair look like year ago,0
288,eldritch and myself went earli to the harbour but all the boat were cancel on account of rough weather,0
289,one day brother one day,0
290,i have seen on the web he is make a new horror film call it wait but can not find that much about it,0
291,i thought they agr they wouldn t do the salem march thi year becau hi parent didn t want the media attent,0
292,jag har int sjalv varit med nagon gang men jag har stor respekt for de som deltar,0
293,whi are you afraid that your son might come and find you drunk in a bar year later and tri to kill you or someth,0
294,damn finland is close in on sweden in thi poll,0
295,but you are most welcom anyway ugric warspirit,0
296,suomalainen totta kai,0
297,i get what your say and there are thousand of non irish here who will never contribut anyth to thi land,1
298,the folk i am talk about have been shoulder to shoulder with me for a long time and i will continu to show loyalti and respect to them as they have more than earn it,0
299,unless you are a tourist or here the studi for a year or two plea just go back russian we do not need or want more slav,1
300,what a load of crapwat are ye peopl for real ireland is been taken over by non irish and thi rubbish,1
301,i hate the word racist it make peopl be call racist think that they are do someth wrong when they the immigr come here are do someth wrong,1
302,remind me of an old joke,0
303,what is the differ between st patrck day and martin luther king day on st patrick day everi bodi wish they are irish,0
304,i am sorri that mani peopl in my countri are stupid,0
305,they feel the need to close down a prison full of terrori peopl who aid in the kill of our soldier and scatter them all around the world,0
306,and the pole decid to up and leav therefor devast the irish economi as everi man and hi dog are tell us what are the potenti ramif for our welfar scroung visitor from far ashor,0
307,no i wa ask for a link for were it say their ban the celtic cross but thank for the link i will check it out,0
308,cheer,0
309,if they have some march and what not about show pride in their cultur you guy should go out and do the same if you could tri and contact peopl you know in differ citi and see if their will to do the same,0
310,good luck noremorsenoregret hope it good news about your job and let us hope you do not becom anoth figur in a stat,0
311,i post a thread in stormfront ireland the week befor about english hooligan slash an irish man throat the thread dissappear without explan,0
312,a crude draw of a swastika on a wall with spraypaint will onli make neutral peopl associ nazi s with common lowlif scum,0
313,can a mod also chang the thread titl so it say the th do not want peopl show up day late,0
314,watch those video make me feel like i am go to explod with hatr for those creatur,1
315,a feel a mix of inten hate and depress that we have let thing degen so far,0
316,from what i know they are almost exclu nigerian asylum seeker,0
317,they have a few of their own shop a food shop by the bustrain station and a cloth shop where they sell fubu and other assort gangsta rap crap,0
318,thi filth is a sectarian british song not an irish folk song the sort of scum who wrote and admir thi filth have no place on a wn forum yet alon an irish forum,1
319,thank for that limerickpit i have put that on my planner no doubt it will be a total destor of the fact,0
320,dure the earli punk scene he wa alway seen deck out in a union flag blazer then all a sudden an instant nation transplant,0
321,well done at least someon is get off their ar and take action rather then sit behind a comput be a cyber warriori hope other will follow suit,0
322,so if a fellow white man rape my daughter or kill my brother i should let it go becau he is white,0
323,it a disgrac my sister ha been on the wait list for year and their give away hou to these scumbag,1
324,most of the info on thi site is out of date but it ha some interest inform on the groupsorg that have come and gone over the year,0
326,the younger limerick crowd say the gang from moyross are in regular fight with the pole they go around in ten and when they meet all hell break lose it veri like in east germani with the pole and work class irish,0
327,i wa away for the weekend that is whi i did get around to post my blood group i do nt see whi i should bother anyway btw i am in blood group of,0
328,the church of ireland archbishop of dublin ha call for an amnesti for immigr who have been in ireland for five year or more without their statu be resolv,0
330,thank it may not seem like much but just pute one of those leaflet up on a noticeboard get a lot of peopl talk,0
331,no it is not a joke we have a veri high standard educ system here in ireland,0
332,it is as good as anywh in the world,0
333,thank the cw campout will go ahead thi year,0
334,unfortun we miss out last year but thi year s occa will definit make up for it,0
335,beauti sceneri music campfir and good true compani,0
336,look forward to it,0
337,regard draiodoir,0
338,i read recent in cold black and white print that there wa around nigerian in ireland now you say close to,0
339,is thi true,0
340,these peopl who want foreign aid increa are the same peopl who walk past irish peopl live rough on the street and they do nt care about the old peopl who the govern ignor,0
342,i had a few of the cd and gave them all away let me see if i can get you a copi,0
343,do not think you supremacist would ever be abl to build up the forc of resist that irish republican did mate,0
344,look on in jealousi,0
345,lie lie lie,0
346,irish men are sooooooo beauti,0
347,i love their darker hair their skin their eye,0
348,they are stun kiss,0
349,the articl say they went into mainstream school so i think that must have play a role in itth drug were proscrib to them for health problem,0
350,there is an activ commun here you just need to get off the net to find it,0
351,use pm to get in touch,0
352,how could you begin to tell peopl that all thi multi cultur stuff is wrong without be hate on by our fellow peopl,0
353,yeah it wa the same way when i wa go to school in calgari the problem is they have like kid where we onli have about children usual,0
354,are onli chapter right now is in the fraser valley near vancouv but were look to open chapter all over canada,0
355,some nativ were drive around in a truck a few year ago,0
356,noth unusu about that except it said on the back window,0
357,work harder white boy my brother need a new truck,0
358,true stori,0
359,put the kid in a ophanag and arrest the who are of a mother to a point of not have more biraci kid kid have to suffer all their live to due a who are,1
360,there are other game similar to the first you describ eg fifa and the british fa,0
361,btw i am led to believ that footbal soccer wa invent in somalia in about ad,0
362,pig bladder were not use there and the footbal were made from camel do,0
363,like i said earlier the english have been subject to a far wor campaign of indoctrin than the rest of us,0
364,i have to admit i do nt think i ve ever met a briton and i am english so you must know someth that i do nt know good for you,0
365,what i do know is that i live on a small island and it seem that a lot of peopl from variou countri in the world are will to desert their homeland and their famili just to come here in my mind that tell me a lot about said peopl and their home countri most of all it highlight their weak of how their own countri have let them down and how they feel the need to feed off somebodi el countri how should we english interpret thi without sound rude locust parasit you tell me,1
366,i base thi post on the fact that i live a few hundr yard from the hou i wa born in and have never felt the desir to suck the milk from anyth other than an english nippl,0
367,my mind s eye small face youtub,0
368,i would not even use anyth that man say winston churchil is the reason we are in thi mess in the first place the bastard should have been shot,0
369,i think they have,0
370,i have thi vision of a left christian screech the meek shall inherit the earth as a member of the peac religion goe a chop humour,0
371,what do i know,0
372,whi would you want to see thi pollut spread further into our gene pool,1
373,thank the god she ha chosen to go with her own kind,1
374,i have just follow the link for the bdp tri to check the polici onli to be shown a lot of latin that translat as total gobbledegook,0
375,hack websit,0
376,a happi st david s day to all of our welsh compatriot,0
377,from your one time enemi and now etern alli the english,0
378,today i had an assembl on diver and how we should embrac other cultur and learn about them,0
379,not one mention about burn night our own cultur,0
380,re what is happen in our school,0
381,simpl truth is that sadli they are prepar them for the onli futur that marxism offer,0
382,do not be ridicul,0
383,so you advoc independ just to join anoth sovereign nation as wale would be in thi hypothet scenario,0
384,ind,0
385,the op ha gone to sunnier clime for a coupl of week so i will close thi now and explain to him on hi return,0
386,do not care much for footbal these day and sincer hope that the team call england get a hide but i will be wear my new serbia shirt dure the tournamentcom on serbia do us proud,0
387,is anyon el fed up with peopl use the so call race card against you if so tell us about it,0
388,no i will not be buy gun and bullet,0
389,and it s not my fault the bnp is run by a gangster,0
390,yeah iam from edinburgh and i when i wa at secondari school my class where full of black and paki and half them could hardli speak english,0
391,i do thi and the look i get out of disgust are regular but i happili carri on walk and laugh them off they think show me a few pictur of negro kid on a poster without a burger is go to make me want to give money to them,0
392,ye i heard that one to or we all came from africa ani way so whi dose it matter my answer we evolv to be better,1
393,ye it is die down the onli way we could beat our problem is by vote for bnp in the next elect,0
394,hello to all my friend here on the forum,0
395,well the warm weather is come in and guess what i now have to painstakingli endur all the offspr of these immigr african foeigner i am put them all becau there is that mani of them all play out the front of the flat in the small garden area screech and shout and their hyena pitch laugh,1
396,there is a sign up place by the council state no ball game so what are they do ye play footbal,0
397,play with their scooter bike and other noisi toy right outsid our window,0
398,can hardli hear our tv,0
399,it got so bad that i liter sat outsid with our dog he wa on a lead,0
400,they all p d off and stay up their end with that stupid look on their face,0
401,i sat there for minut and then took the dog for a walk,0
402,there must have been about of them all black and other come in to join them,0
403,there wa not one white child amongst them,0
404,oh ye and to round it all off we have new neighbour move in,0
405,foreign of cour,0
406,i had to open the land window earlier becau the stench of their cook wa overpow,0
407,thankyou all for allow me to vent as i feel so angri,0
408,he wrote the truth and you do not know if he is white or not as none know who post here is a confirm white,0
409,on the other hand point to anyth he post as not to be the absolut truth,0
410,everi time i see a black secur guard they are either sat down or on the phone they have no proff whatsoev,1
411,ye more homosexu degeneraci foist upon the silent major,1
412,dare to speak out in a countri with suppo free speech and you are label a bigot,0
413,absolut ridicul,0
414,hey i m not realli new to brow the forum but i ve onli just got hi account and have decid to becom more activ onlin and in day to day life,0
415,if you follow the cycl of water what we drink ha alreadi been down the toilet a few time so it s noth new,0
416,agr with barrrytheanglosaxon with mani point oh,0
417,english team are white,0
418,and one of thing i like in footbal among footbal fan mani white patriot right wing ultra ru youtub,0
419,i can not understand whi peopl in britain love so much to breed with non white it keep me shock when i go there,0
420,i have never seen such thing in ani other countri,0
421,someth mysteri must be happen there,0
422,did not you just say we are all go to die off anyway but it ok becau more white peopl are go to replac us,0
423,come right up,0
424,there s sugar in the bowl and lemon on the side,0
425,it s a pleasur to make your acquaint madam,0
426,is it a competit on tv to get the most alien look black and to put them with a white woman,0
427,in light of who bring it up i would imagin that like all their other claim and accu thi is wildli exagg,0
428,do you mean,0
429,it is better to be hate for what you are than to be love for what you are not,0
430,andr gide french critic essayist novelist,0
431,yeah we could do with the same amount of black rapist as the nordic countri are privileg enough to have,1
432,no,0
433,rule britannia,0
434,ye true it remind me of thi incid muslim extremist abu royal anglian troop after afghanistan return bark london youtub,0
435,sure got to be more than that town to town you see minor white if white are suppo to be at least million it a veri hard way of show it,0
436,person card for teacher johann warzecha in the upper silesian villag of kaminietz near tostgleiwitz toszekgliw,0
437,the name of the villag wa chang to dramastein dure the third reich today it is call kamieniec in poland,0
438,you are tell me that of kid under in frankfurt are all foreign,0
439,jeez it worst than the uk,0
440,first i m not from moldavia,0
441,second i realli hope one day you chauvinist tri to take our transylvania from us posada ring a bell baia ring a bell selimbar ring a bell,0
442,budapest trianon ring a bell our militari is still vastli superior to your as it ha alway been,0
443,there is no way you are take our ancestr homeland from us ever,0
444,oh that s just great,0
445,i enjoy when a brit come in and tell bulgarian everyth they need to know about themselv,0
446,the girl is ind amaz,0
447,we could have so much more sport medal if our politician and author were not such greedi bastard,0
448,hi everyon i m from slovenia and i utterli hate everi live muslim in thi world and i despi even the dead one,1
449,we had somebodi there to monitor thi protest they had around peopl there despit their claim that they usual have hundr at their demo,0
450,my friend live in gdansk and he told me almost everyon in hi citi wa white with the except of some foreign student and a chine man who own a dive bar,0
451,there is not enough interest on either side for a reunif to be attempt,0
452,besid that there s the transnistria issu to be solv and the hard fact that romania simpli doe not have the econom power to accomplish such a reunif,0
453,the gay issu is practic nonexist in romania even though the local gay ngo organ a yearli pride parad in bucharest,0
454,in fact thi year thi event is go to be thi weekend,0
455,there were never more than a few hundr peopl attend thi parad mani of them nonromanian gay arriv from western europ,0
456,for the vast major of romanian gay simpli do nt exist except on tv,0
457,i feel a great appreci and admir for the polish peopl and i get sad when i hear white brother speak ill of the pole,0
458,if bulgarian are nt slavic then it s perhap time for the rest of them to seek a new name for themselv co it s us that use that ethnonym first dig,0
459,all of ukrain is russiapolandromania you fake ukrainian,1
460,p from someon el to csabi so accord to csabi romanian listen to hungarian music,0
461,seyktextpdf molecular genet method support our observ that there is a rel small differ between the hungarian and indian group the central european differ more,0
462,sourc kamlaraj int j hum genet human chromosom polymorph in a hungarian sampl kata decsey orsolya bellovit and gyorgyi m bujdoso,0
463,semmelwei univ depart of foren medicin budapest hungari,0
