,text,class
122,now we have rever discrimin big time becaus of this perceiv problem that our dear leader intend to remedi by execut fiat just anoth reason whi there should not be a feder depart of educ that dole out our own tax money and make the state jump through hoop to get it do not you think enough is enough,0
123,transgend peopl have exist sinc the begin of time some have just alway kept the fact that they felt they were the wrong gender a secret and suffer in silenc other actual live as the other gender often after move to a new locat obvious they use the bathroom of the gender they were live as and no one knew becaus unlik christian conserv they did not go into bathroom or dress area flail their gen italia around but now that it is all of a sudden it is a problem whi polit and the awar that these peopl exist,0
124,but christian are the on reason whi you care about gay or tgs you want them in all of our church of have us pay a huge fine right that is your equal right,0
125,think for yourself for onc,0
126,i alway do there is no bigger lie than equal right for all,0
127,you are becom far too repetit,0
128,you never do that sharon,0
129,honest who is sharon i do not get the joke,0
130,so far that is you,0
131,you think my name is sharon ok,0
132,glad you told us your name,0
133,see as that is not my name nor did i ever say it was i still have no idea what you are tri to say,0
134,you just now said it was,0
135,well no i did not so again what in the world are you say,0
136,it nice to know your real name it a pretti femal name,0
137,ah okay you wish i was a woman that is creepi wayn keep your fantasi to yourself,0
138,so you admit be a woman,1
139,you have made it quit clear you are hope i am a woman that is sad wayn you need help,0
140,i came back to my post and saw repli and actual thought wow mayb my post generat some interest conver then i click on it omg sharon was probabl his third wife and second daughter,0
141,nah he did not come up with that one himself either cuss did and he is been parrot it like i said he is not capabl of an origin thought,0
142,he is not capabl of ani thought period,0
143,none that is a vote for hilari,0
144,republican en mass are get readi to turn their back on trump the way they did on bob dole in when it was clear he could not win against bill clinton,0
145,no the opposit your poll poll most democrat who can not stand hilari who matter becaus of that cigar,0
146,the poll are accur wayn pollster compet with each other for contract and as a result focus on accuraci they have no problem predict elect within the margin of error a coupl like fox and rasmussen have a republican hous effect of around point a coupl like ppp have a dem hous effect of around the poll say trump is not do veri well wor than they said mccain and romney were do at this same time even fox s poll,0
147,whi doe that neke silver say that trump will win by percent they can easili find democrat in manhattan but they do not like hilari at all not mani do,0
148,if trump ever endor violenc against liber i will compli with his wish glad,1
149,i think we all will come nov,1
150,this is whi you need help you need to be in asylum befor you hurt someon,0
151,you do sinc i thought you did not like hrc that is a lie obvious,0
152,hope the author come for you befor elect day,0
153,the latest project are the orang clown lose in a landslid,0
154,here is hope he bring as mani republican down with him as possibl,0
155,nope the dem will dump hilari like they dump carter in,0
156,sourc,0
157,they dump carter becaus he could not resolv the hostag crisi and inflat was out of control after he was in offic four year now whi are they go to dump hillari,0
158,his overlord have not told him that one yet,0
159,see what i mean no answer just repetit of the origin statement,0
160,nope a vote for hilari is what your on answer would be,0
161,no ani answer to the question would be a fine answer,0
162,nope becaus the dem reject carter and will do the same to hilari they want no more four year of monica lewinski,1
163,monica lewinski lol,1
164,whi not she is whi hilari matter,0
165,liber can not distinguish men from women nor do they want to,1
166,con can not distinguish moral from the rant of a barbar ancient middl eastern desert tribe,1
167,and liber use that same book and blast christian day and night fal,0
168,freedomscout think the public school are like pink floyd s the wall,0
169,i wish he would publish his book alreadi and stop spam here,0
170,and the left want homeschool ban,0
171,not me,0
172,he is just spout off the nonsen he hear on tv he is not capabl of critic thought,0
173,or it was conserv talk radio a caller into han niti say it and han niti say oh you are right you are right and then they run around to friend and famili wring their hand as the repeat it as fact,0
174,given small hand of name that appear in wayn s tweet it is definit fox,0
175,i know sb sharon doe,0
176,i would like to see the quot,0
177,do not hold your breath,0
178,just repli to me below read it if you dare it is so sad,0
179,i do not bother read his post everyth come from a creationist is nonsen,1
180,i wonder which of your favorit talk head just said that on tv,0
181,i agr that peopl should use the public bathroom that fit their actual gender but what harm to societi is caus by someon be transgend,0
182,the one harm the most are the children who are taught in govern school that transgend is a valid descript of a true realiti first the veri fact that transgend is not a true realiti in itself but a condit of mind make the claim of valid fal thus be decept for the children youth adolesc and adult who are deceiv by it decept about anyth critic import in the learn growth selfunderstand and selfappreci and view of the civil societi is evil and must be refus and refut to confus children and youth especi on the issu of their own natur is inexcus and abus to them becaus the falsehood regard transgend are be foist on the cultur by intent and will complic the evil effect are widespread and becom repeat in social media of all kind the result for stabil of famili and civil societi is degrad of both,1
183,serious your denial of transgend as a real thing is quit danger as is the condemn of anyon who is strugg g with ident issu becaus they are born that way or develop differ due to hormon and biolog,0
184,transgend is just that an ism mean it is a condit of mind not base on realiti so when i say real thing i am refer to the realiti that such a person is confus becaus they think in their mind they are someth which they are not in realiti condemn of such confus peopl is not appropri though either preci becaus they are confus and their inner motiv which bring on that confus are someth they do not understand themselv,1
185,trangend is real doe it mean someon is gender has actual chang no but that doe not make it less real you mention evil effect what are they be specif not just someth like it is evil or wrong,0
186,to call some confus of mind real distort the discuss as i tri to make clear that the confus phenomena is real i e that the person is realli confus so what is real is in opposit to what the confus person believ is real when i refer to evil effect i am not use the term generic veri often but to indic a moral form of someth that is inher evil howev i suspect you are look for the human consequ that are harm to the subject victim and to famili and civil societi is that the case,1
187,either way yes how doe it harm the individu and societi and generic what make it inher evil,0
188,the harm to the person who is confus about their own sexual should be obvious but sad polit correct has suppress much of the truth about it on the face of it it is inher harm for a person to be confus about anyth where realiti is involv becaus the confus caus them to react to realiti erron make deci that are at least not in their best interest and that are at worst veri harm to their live and wellb,0
189,how will you go about cure them they have tri mani differ kind of therapi with them the on best solut for now is to help them transit forc them to be normal will have them end up in depress various problem and possibl suicid,0
190,also they are not confus as they are well awar of their own bodi,0
191,there is a common misconcept that one can somehow forc a confus person out of their confus that seldom work although there are some condit where various form of coercion may be effect and may rai ethic concern transgend like all of the other sexual confus and perver is inher depress to the individu with other inner self harm effect also sometim result in suicid these are all veri sad effect and consequ and need core inner remedi not pander shelter or accommod these confus and perver are inher mental not sourc in the physic natur itself speak general and refer to the great major of case the problem with most of psycholog is that it categor mental as physic of the brain instead of the mind that is whi secular psycholog has no answer for these condit as perman correct of the core becaus howev well ver psychologist and counselor who understand the mind as be part of the core spirit natur of the human be human person treat the person veri differ with an understand of volit which dynam chang the process of treatment and dynam result in core therapi and last benefit true heal of the person to live normal as they truli are in harmoni with their physic self,1
192,again you have not given ani viabl solut the spiritu counsel have been done mani time befor the depress come from the fact that peopl like you will not accept them as who they are and instead want to forc them to conform to what is your idea of realiti,0
193,the depress doe not come from outsid for these person but from their inner confus about their own natur and valu it can be accentu by outsid influenc that is demean of cour but the depress sourc is intern to the person themselv and is allevi when they come to understand some core concept about their natur as human person as well as their physic natur i suppo that what you conceiv as spiritu counsel is simplist recit of scriptur and platitud along with session of prayer etc what i am actual refer to is veri deep counsel work inward from the object selfconcept of the person as god s creat be of immen worth and valu to both god and the rest of human but the subject doe not easili acclim to these concept when they are so confus it take a great deal of patienc and explan on various level of understand that fit the subject s own initi percept and belief help them to understand where they are in error in their concept and understand and whi their understand is erron essenti in this process is the understand impart to the subject that they can choo to believ differ and choo to redirect their own think pattern actual modifi their brain structur over time the result symbiosi between purpo thought and chang in the brain result in true long last perman heal,1
194,seem like general statement again what is so obvious wrong or evil about it what actual harm is be caus by their choic,0
195,ind there are those who are last who will be first and first who will be last luke guess who will be last in heaven,0
196,no one,0
197,no one as in nobodi is answer or no one as in nobodi is go to be last in heaven despit what jesus said,0
198,no one as in my guess is no one,0
199,i will be last if you just need someon to close up shop doe room servic exist in heavan i hope it is a fun place and not just a bunch of religi nut pray and such,0
200,oh it is go to be a fun place all right so as jesus said earlier in this chapter make everi effort to enter through the narrow door becaus mani i tell you will tri to enter and will not be abl to,0
201,so you think it is moral to discrimin against transgend peopl when scienc medicin and psycholog all say their condit is legitim on what basi,0
202,here we see a ration common use by those who support these bizarr behavior and polici first the term discrimin and discrimin are elev in their mind to the level of a religi sanctimoni as though they were ultim weapon of warfar against those who oppo these foolish notion the idea is to intimid the opposit with these term to make them feel guilti of some wrong or evil or at least make them feel unaccept for who they are in their polit incorrect belief then these support of fallaci use a blatant fallaci to tri to further intimid ani opposit as in this case make the outrag fallaci claim scienc medicin and psycholog all say their condit is legitim this is suppo intimid the realist by put them on the defen as though it was their job to refut the grand fallaci instead of the promot of the fallaci s job to defend it then the tactic includ a question which is suppo to impli that the writer is open mind rather than dogmat and doctrinair which they are also the question is usual veri open end so that the answer will not like refut anyth the writer has claim thus divert attent from the utter fallaci and attempt intimid to put the monkey on the back of the opposit the way to refut these tactic is to speak the truth even if it is simpli put without a lot of fact and figur and argument the simpl truth of cour one can also engag in present of fact figur and argument which help other reader listen learn the deeper proof for the truth so the truth here is that it is righteous to discrimin between righteous and evil right and wrong good and bad and tell the truth about it and the truth is that sexual confus and perver are a great harm to their subject and our civil societi if toler instead of dealt with proper with the love righteous of god,1
203,how will it harm our civil societi be specif now,0
204,did you not understand the question,0
205,i agr that peopl should use the public bathroom that fit their actual gender but what harm to societi is caus by someon be transgend,0
206,i think he is stump on that one,0
207,seem so,0
208,first the term discrimin and discrimin are elev in their mind to the level of a religi sanctimoni freedomscout ind there are those who are last who will be first and first who will be last luke do to other as you would have them do to you luke freedomscout you need to heed to jesus word about how you treat other peopl,0
209,i tri to live by that do unto other bit,0
210,which other peopl that has a hidden mean and mean homosexu we see that the left faith islam never had to be kind to other in orlando did they it depend a lot on the religion we watch while other got shot in a bar yet we get su over a cake that veri select moral would make jesus angri,1
211,of all the sick move obama has made this has to be the top he seem to think that as presid the peopl must serev him not that he should be serv the peopl the on peopl he seem to feel oblig to serv are those without moral which he appar feel he is part of even though he on has a few month left in his term the hous and senat should be call themselv back into session and impeach him under obama and clinton this countri has becom an immor dirtier than dirt nation i suggest he send his children to a public school affect by this despot rule just to show us how much he believ it,1
212,so you think it is moral to discrimin against transgend peopl when scienc medicin and psycholog all say their condit is legitim on what basi,0
213,so you think it is fine to protect the right of immor peopl while take the right from innoc women to have their privaci,1
214,peopl who,0
215,that is who,1
216,if you do not understand what transgend is go talk to your famili doctor they cover it in medic school,0
217,i understand complet who they are you are the one that has bought into the lie that they were born with some genet defect transgend is a sick perver,1
218,transgend are immor that is news to me i person know two and they are not immor,0
219,like your moral do not fall into question by support this,0
220,whi should they,0
221,simpli becaus peopl like you are out to chang what is consid moral into someth that is not,1
222,by whose definit your on,0
223,no by the standard that has been around sinc this countri was found and befor,0
224,no by the standard that has been around sinc this countri was found and befor so i guess you think we should still have sla veri i am not surpri it is biblic too,0
225,nice tactic to switch the conver,0
226,i am just identifi exact where your so call moral are come from,0
227,not hard,0
228,oh realli then where,0
229,your interpret of the bibl is flaw so make you understand anyth from it will never happen until you recogn your need for a savior,0
230,so you admit it your moral is come from the bibl and not scienc or medicin thank you for make my point,0
231,so his moral is base on what was preval in the middl east about year ago noth like keep up to date eh,0
232,notic how she took off when it came down to actual have to defend god s word,0
233,yep,0
234,it where your come from too the bibl is whi you push tg and gay it a lot more than a book,1
235,deuteronomi if a man happen to meet a virgin who is not pledg to be marri and rpes her and they are discov he shall pay her father fifti shekel of silver he must marri the young woman for he has violat her he can never divorc her as long as he live,0
236,leviticus your male and femal sla ves are to come from the nation around you from them you may buy sla ves you may also buy some of the temporari resid live among you and member of their clan born in your countri and they will becom your properti you can bequeath them to your children as inherit properti and can make them sla ves for life but you must not rule over your fellow israelit ruthless,0
237,jewish law they do not do that but you care about the return of slaveri via gay marriag,1
238,exodus anyon who beat their male or femal sla ve with a rod must be punish if the sla ve die as a direct result but they are not to be punish if the sla ve recov after a day or two sinc the sla ve is their properti,0
239,your faith islam is far wor toward slave than we are,1
240,where do they come from then,0
241,like your moral do not fall into question by get your info about human se xualiti and gender ident from a barbar ancient middl eastern desert tribe that had no problem with adult marri children and thought the appropri way to deal with ra pe was to make the ra pist marri the victim,0
242,or stone the victim,0
243,like muslim do alreadi,1
244,discrimin against them in what way,0
245,by tell them they can not use the bathroom or facil of the gender that they are live as and under medic and mental health guidanc to live as as they have been for decad,0
246,someon use the bathroom of their actual gender is not discrimin a man who identifi as a woman or vice versa doe not mean he is a woman,1
247,except that that is not their actual gender they are the gender they are live as,0
248,is not a choic you are born male or femal it doe not chang becaus you think your the opposit,1
249,it is you are you write like a fifthgrad and sound like one as well,0
250,good job you caught a typo to point out sinc you do not have a counter argument,0
251,it was not a typo you do not know the differ,0
252,that doe not make sen if i know the differ between the two word but use the wrong one that is a typo this is not a colleg paper i am not proofread or check for auto correct issu again i notic no counter argument from you on the actual post though,0
253,how can i possibl make an understand counter argument to someon that doe not know the differ between your and you are i just can not dumb it down enough,0
254,and you can not understand a typo or just hide behind that claim sinc you can not argu the point which is more like in this case,0
255,ha ha,0
256,ask your famili doctor about it they will explain it to you,0
257,it is pretti simpl a woman doe not chang into a man by think it she is still a woman no issu with her think act like a man but that is not what she is physic,1
258,join islam shoot the tgs gay problem solv they get to discrimin against whoever they want to,1
260,no answer huh there is no way you are for equal right,0
261,no answer you did not ask a question,0
262,i did make a statement i admit that,0
263,it perfect okay depend on the religion the liber faith milit islam get to shoot all the tg s gay it want to and be protect under sharia law,1
264,while i empath with the sentiment and agr that obama s motiv are evil the long stand evil of murder abort has been a terribl part of the moral decad in america for year now but even that has been a symptom of the inner decay in the live of so mani peopl who have lost the moral compass that use to guid our cultur,1
265,the ad confus this is all bring to children youth adolesc and young adult is tragic and so unnecessari parent are have a veri difficult time shield their children from the foolish influenc of our cultur that is creat so much uncertainti and relativ in the mind of youth larg through social media and sad through govern school,0
266,the confus is ad by peopl follow an ancient mytholog that have no respect for scienc medicin and psycholog,0
267,how doe that have anyth to do with it,0
268,religion poison the mind of children against logic and truth,1
269,mani religion are poison to logic and truth that much is true and human be still remain fallen human be even they are redeem by the sacrif of jesus christ so there is that but the fallaci of think cannot be limit or attribut to religion but to error inher in human motiv the motiv to utter selfcent as fallen sin human be near all of the world s mani religion are express of that utter sin natur christian and judaism be the sole except,1
270,your comment was correct except for the last seven word,0
271,i stand by all of them,0
272,sure you do and you look like a fool,0
273,i identifi with paul the apostl glad to be call a fool for jesus christ,0
274,you are just a fool period,0
275,the saddest result perhap of these polit machin is that children will be influenc to doubt what and who they realli are as god s grand creation with inestim valu,1
276,is that ani wor than the nonsen in the bibl,0
277,sinc there is not ani nonsen in the bibl these thing sure are wor,0
278,no nonsen in the bibl that is funni scouti,0
279,none at all and you know it or you would not misquot it,0
280,i figur it out by age the good thing is children will have access to healthcar inform medicin treatment and support none of which exist for transexu when i was a littl girl grow up in the s and s,0
281,what a sick satan possess world we live in,1
282,stand by for it to get much wor,0
283,the world is not possess by satan,0
284,sure it is unless you are on the side of isi,0
285,thank obama is the first and last gay presid not to mention black,1
286,just becaus obama want to pee in the ladi room doe not mean the rest of america has to put up with it,0
287,that is an odd fantasi,0
288,you want to watch obama pee you are sick,0
289,what are you talk about,0
290,still push for yes on tg gay,0
291,again what are you talk about who said they want to watch obama pee and who is push you to say on tg gay,0
292,you do and so doe sb it about forc devianc without that no sen would be possibl,1
293,i can not speak for sb but i do not want to watch anyon pee nor do i care if you or anyon el watch someon el pee,0
294,fine then let us leav the bathroom alon,0
295,when have i said to mess with a bathroom,0
296,you ask what i was talk about did you not which realli meant chang the bathroom,0
297,no you ask who want to see obama pee i then ask what are you talk about becaus no one had said they want to watch him pee,0
298,i think you do but it about forc perver or el,1
299,again claim thing i have never said,0
300,noth ever is said but pro perver,1
301,so what you say is pro perver then,0
302,whi el do you want sen from me what you need is agreement with a sick lifestyl socialismless sb for liber that is normal,1
303,could this be the real reason as to whi ms clinton basic stop wear dress and pantyho could she possibl have possess the wisdom to determin what a highrisk liabil it would be have pantyho entangl about her ankl as an unknown man enter the ladi room with her unbeknownst or did mr clinton simpli forewarn her as to the potenti danger will the left seek to ban ladi from wear pantyho next and mayb even dress deem such to be an unnecessari risk within the ladi room,1
306,her first move god forbid will be to ban dress,0
307,yeah a real danger that will happen i am sure,0
308,want men wear dress not me,0
309,you have a veri activ imagin,0
310,do i want men wear dress no but not freak out by it either,0
311,either but that will be the next drug,1
312,you forgot to take your clear,0
313,will be the next drug,0
314,alreadi is sinc the court fail to requir church to marri gay,1
315,you need a gibberishenglish translat to understand ani of his post,0
316,i do right now becaus these post are not make ani sen,0
317,as is usual the case with wayn,0
318,laugh on a pro gay tg post would ever make sen to you stop the no sen lie,1
319,no serious read your post it did not make ani sen not even talk the opinion it state refer to the phrase,0
320,lie you are redefin sen to mean disagr,0
321,no i am tri to figur out what you are say you are ask question claim someon want stuff they have not mention,0
322,not at all you are desper push for a pro deviant answer from me noth el can make sen but that it an old liber game i see all the time unless i say yes to gay marriag and tg bathroom i can never make sen to you,1
323,i just want you to make sen you are say stuff like transgend are the new drug be against gay and transgend peopl all you want but plea make sen when you write so other can understand you,0
324,not at all you want me to agr with gay and tgs or it will be imposs to make sen to you it a tiresom liber game that can never allow differ opinion,0
325,anoth claim of someth i have never said i am fine with you not agr with or like gay or transgend and have never said otherwi peopl can have differ opinion,0
326,you are not but i am,0
327,whi,0
328,actual the reason she wear pant suit is to better hide the fact she is wear depend and they might leak,0
329,such is a plausibl hypothesi and if true perhap they are custom with bodi enhanc nevertheless she and her parti are attack women via the alinski playbook,0
330,tran peopl have alway use the bathroom facil of the gender they are live as conserv just like discrimin and want to creat potenti explo situat they seem to thrive on that in fact,0
331,realli it is a distract nobodi in their right mind would think this was a problem,0
332,it is not as long as it is not a law a law say that men can be in the ladi room let us all men come in that mean rapist and pedophil i have been in ladi room and notic transgend they are not what scare me rapist and pedophil do,0
333,what law is say that what in the world are you talk about all you are do is confirm my point,0
334,all men can alreadi come in the women s bathroom most place have no law against that the peopl tri to pass law are the republican insist that peopl use the bathroom of the gender on their birth certif so what law are you talk about,0
335,it is the same subset of peopl that think scotus pass a law allow ssm,0
336,there were gay shot in orlando over the gay rule where were their equal right,1
337,it was over the rule realli sourc,0
338,cricket,0
339,sure all over the news the killer did it becaus of sharia law which is whi the media deflect to his weapon that show what a lie equal right is,1
340,so no sourc on your claim ok then,0
341,no they have not and they would better not not that i would do anyth about it but there are a whole lot of peopl who would obama or no obama his legaci appar is to be the presid who has went against the will of the peopl who elect him more than anyon befor him,0
342,has anyon heard if bruce springsteen ringo starr and other celebr and corpor who condemn boycot nc are go to do the same to these other state all i have heard is cricket come on where is the equal in your outrag liber i can not hear you,0
343,they have not pass their jim crow law yet,0
344,you want slaveri back that is whi you want forc perver you are call that equal,1
345,what forc perver,0
346,which you push like mad i get so sick of the lie call equal right,1
347,you did not answer the question what forc perver if you are sick of the nonsen you make up stop say it,0
348,you never ask one you are make a statement and want complianc,0
349,for the third time what forc perver,0
350,and answer not desir,0
351,i did not think so all you know is the talk point on it face you can not ever defend it,0
352,your on point is forc complianc of perver,0
353,fourth time what forc complianc of perver,0
354,do not expect an answer to your question i doubt you will get one from him,0
355,i do not expect one i am hope that he will eventu realiz he is a coward and shut up,0
356,becaus you are demand complianc or fine that is the on answer you will bother with,0
357,fine for what,0
358,i am just point out that you have not answer the first time the question was ask so do not expect an answer on the th time,0
359,who care,0
360,that is awsom i hope the boycott ruin that state financ and the current ag becom ncs next goven,0
361,yep and your own kid will get rape by a pedophil in a share bathroom then you will be cri or will you women have bodi in bedroom but not bathroom,1
362,nc made itself the poster boy for this repul legisl which is whi they are be singl out where is the conserv outag over denni hastert mark foley and larri craig,0
363,there was outrag over it did not all of those men go to jail for their crime has noth to do with allow someon to go into ani bathroom of their choic,0
364,these are celebr they are monkey how will at the moon north carolina has the right to make law for their own state obama doe not and neither do ani of your so call celebr what you and mani other forget is that the unit state of america is a collect of depend state have their own moral and law obama think that presid mean king it doe not it mean limit leader there are mani thing he cannot legal do and this happen to be one of them,0
365,if state can ignor real feder law and allow peopl to consum control substanc for recreat usag state can ignor imaginari feder law and keep move forward in a sane and ration way,0
366,i was think the same thing could not these state sue and claim whi are some citi and state ignor feder immigr law,0
367,it is interest that a law enforc agenc the execut branch can now order peopl to obey law that do not exist cop pull a guy over and say get out of that car you are no longer allow to drive guy say whi what law did i break cop say my law i am order you to get out and never drive again guy say but but but you can not do that it is unconstitut cop say i just did it and if you do not obey you are go to jail guy say but whi me cop say i do not like your hair cut,0
368,noth will get better until you s resid obama is remov from the oval offic million plus illeg alien are a larg portion of the demorat voter base we do you think demorat are do everyth they can to keep id s out of the vote booth fraud in fraud out,1
369,trump will clean hous of these incompet anti american democrat hack of obama s thing will chang and america will get back to enforc the law trump,0
