tweet,is_offensive
"@AlphaCohortes @PreglArjan Če je to najboljše, kar premoremo, smo gotovi. 2 miljona nas je in Jajo nas bo skregal do konca. Tako kot Trump ameriko. Deli in vladaj. To je Janša. Povej mi, kaj je lahko slabše od tega?",žalitev
"@dtadejd @jakobxyz @MatevzTomsic @Fitzroy1985 @JernejPikalo @sarecmarjan @MiroCerar @vladaRS Formalno jih je, dan pred izvolitvijo nove vlade v DZ res nekaj.

A najbolj indikativno je njihovo obnašanje glede SNAV in ignoranca ter posmehovanje tistim, ki so opozarjali, da se je potrebno pripravit in ravnat preventivno. Se še spomnim Šarčevih nebuloz s tiskovnih!",žalitev
"Mene so ukinili na MMC, pa je tam polno bolj nestrpnih vsebin. Tudi zato podpiram peticijo RTV https://t.co/B7Ddt6mHcT",ni sporni govor
Nova izzivanja Erdoganove Turčije! Na sporne dele Sredozemskega morja pošilja ladje ter provocira Grčijo  https://t.co/UsA23R2YGf https://t.co/oOQdoz5udV,ni sporni govor
"Turki bodo Hagijo Sofijo pustili odprto za turiste, krščanskih ikon ne bodo odstranili https://t.co/L6uLsCKN4J https://t.co/pFK5sBWXG0",ni sporni govor
@mojcaskrinjar @TVOdmevi @StrankaSMC Pričakovano! Res se jim že dobesedno blede!!!,žalitev
"""Ampak se je seveda to vse na glavo postavilo, ker so bili najbolj funkcionalni mladi odrasli ljudje iz patriarhalnega tipa družine.""",ni sporni govor
In kako lahko minister financira medije ki pljuvajo po Jansi...Danasnji faktor..kje je tu logika? https://t.co/U4kfXTKARq,ni sporni govor
"@StrankaLMS @KovacicAljaz Z roko do komolca v marmeladi. + vse nezakonite zaposlitve v zadnjih dnevih stare vlade s 3 dnevnimi razpisnimi roki. + vse pogodbe, ki so bile podpisane v zadnjem trenutku. Vse bo potrebno preklicat. Lopovi. @StrankaLMS

https://t.co/OVDidZBT38",žalitev
"SAB je postala SLA

Ce delas projektno vlado, to pomeni, da naceloma tega ne pocnes iz ideoloskih razlik

Da pa  @AlenkaBratusek ze v startu izloci poziv @strankaSDS

Pa je cista ideologija in njena laz o ""projektni"" vladi

Stranka Laznive Alenke - SAL

 https://t.co/Dkm12d22i8",žalitev
@JoeVantur @FranciKek @JozeJerovsek @ZigaTurk @Dnevnik_si @PopTV A še nisi pozabo? 😁,ni sporni govor
"@FrenkMate @BozidarBiscan Hhahahahaha...res sem se nasmejal. Domobranci so nastali iz vaških straž in klerikalne bele garde (beri 80% četnikov...Jaka Avšič, Karl Novak) in so bili pomožna policijska enota nemškega Wermachta.",ni sporni govor
"@2pir_a @carantanians @zaspanko @davorvrban @sodnik @D_Jasmina @NeuroVirtu @vladaRS Vojska bo izključno na J meji za to, da bo v notranjosti policija.",ni sporni govor
@jernejpro Če gre tako naprej bomo med top 5 po izvedenih testih na mio prebivalcev.,ni sporni govor
"Zlahka bi ukinili medobčinske omejitve, saj se izven domov za ostarele okuži manj kot 10 ljudi dnevno. Ampak ne! https://t.co/UjDbvpxXAC",ni sporni govor
"Vsi MSM in nekateri,ki pravite,da ste nevtralni nehajte nakladat in zavajat.Vlado imamo 1 teden ,kaj če bi povedali še to kaj je naredila dobrega.",žalitev
"@Chuppacadabra Kartonasto škatlo bi mu moral nekdo naštimat, da se stlači vanjo. 😁",ni sporni govor
"@STA_novice Ko se Trnljulčica zbudi iz dolgega spanca....in stopiti v nov svet....kjer so same lepe stvari, sonce sije, trava in rožice rastejo ter ptički pojo😉😎",ni sporni govor
"@VeraG_KR @antigravitypill Saj to njegov štos. Edini. S podpihovanjem svojih medijev je državljane tako prestrašil pred migranti, da je to vse kar jih zanima. Vse ostalo je nepomembno.",žalitev
"@LottaS10 Groza, na Galaksvagen,(ne vem, če sem prav napisala) živi prijateljica moje mami. Tam se mi je zdelo kot pri nas na Kofcah.",ni sporni govor
"@Sashana34616986 @radioPrvi @Val202 @a_kocjan @BorutPahor Kot razumem ste mlada oseba in sete leta 1991 še cuzala prst, glede razprodaje je to del družbenega sistema , ki smo ga zamenjali in naj ne bilo več državne lastnine, vse zamenja trg (plebiscit). Kdo pa ima vizijo in kakšno pa je del demokratičnega sistema , volivci odločajo.",ni sporni govor
"23 novih okužb, domovi za starejše občane ogrožena območja https://t.co/f9teBxBlik",ni sporni govor
"@sivanosoroginja buteljka je zaprta ... dejansko so tak škrti, da za fotkanje nočejo odpret vina",žalitev
"@marjanritonja @rose_roseae Bumbar vse je baje  odobrila  @jelka_godec zraven so se pa Jaklin, Terce pa Zdravc drli naj na ZBR podpišejo.",žalitev
@ToneCricket Brez dlake na jeziku ....in brez dlake na ....češplji....gladko obrita ....yummy....za pocuzat!!!,ni sporni govor
@matejzalar @JazbarMatjaz Res je. A ta številka je vsaj neko orodje. Brez nje ni nobenega (za vse te mnoge trdoglavce).,žalitev
"@JJansaSDS TA BOSANSKI OVCE JEBAČ ZALTAN ČORDID
SI DOVOLI
TA JE V BOSANSKIH HRIBIH JEBAL OVCE IN BUKVE
SE PRITEPEL KOT LAČEN POSRANEC V SLOVENIJO
ZDAJ PA SE ŠOPIRI KOT OVEN
JA ČE OVCE JEBCU SMRDI SLOVENSKA NARODNA GLAZBA
PRVI VLAK ZA BOSANSKA BRDA OVCE JEBAT! https://t.co/p4uojEY7ur",žalitev
Romana Tomc: Ob umetni inteligenci rabimo tudi nova pravila o varstvu potrošnikov https://t.co/Mw88mhlA1F,ni sporni govor
"Tehnična in druga pomoč 2. 05. 2020 02:51
Ob 2.51 je na Zdraviliški cesti v Podčetrtku prišlo do močnega puščanja plina iz plinohrama. Posredovali so gasilci PGD Steklarna Rogaška Slatina, ki so zavarovali kraj dogodka, ...
https://t.co/tYPCWHHzds",ni sporni govor
"Do odgovora, kako zelo so družbena omrežja pomembna za vaše podjetje, vas loči le en klik! 🙃➡️ https://t.co/uzy9YAwHib",ni sporni govor
"@ajitamxy @JozeBizjak @BojanPozar @joze_poglajen @RTV_Slovenija @strankaDeSUS @JJansaSDS @sarecmarjan Oditi so morali zaradi sendvičev, makete, prevažanja kontrabasa z državnim avtom, predolgega jezika in podobno ""kriminalnih"" dejanj. Še dobro, da je Šarec kmalu ugotovil, da poslanci in ministri niso kandidati za papeža! Toliko o preprogi. Pa srečno.",ni sporni govor
"@LukaSvetina Troha se proti Janši bori z Josipom Brozom?! Primerno za prisilno psihiatrično zdravljenje? Res se mu je skisalo, kakor tudi njegovim aposolkam+sledilcem. Če se želite nasmejati, obiščite njihov site in poslušajte, kaj ima gospodinja+natakarica povedati!
https://t.co/Z6QT8c7bMj",žalitev
@borisvasev Uživajte v denarju lastnikov el. priključkov dokler še lahko. https://t.co/rmyOByEpG9,ni sporni govor
"Tale mala pisodica solate je dala od sebe 3 srednje skodele solate. Tole bo zadnja, nato bom vso populila in na novo posejala. 
Tolk, da mate mal občutka, kolk se da nardit na balkonu. 👊👍 https://t.co/16s2ZcE1qg",ni sporni govor
@SVesel @petra_jansa @mojcav1 @policija_si Petra ni iz njihovega posvečenega gnezda.,ni sporni govor
"@dragnslyr_ds V naši hiši vse deluje in boli me za folk k se šeta. Sam ne pol zbolevat, k so tolko na soncu in ne depresije Moja hči dela v bolnici in pravi, da bo dala odpoved in se šla šetat, da ne bo izgorela. Ker ne bo več predana poklicu.",ni sporni govor
@Libertarec Stvar značaja. Stvar neizživetega narcizma. Sovraštvo do drugega človeka ni ravno vrlina in posebnost. Torej naredim iz imena -izem in sem na enkrat v vlogi žrtve sistema (Janša =&gt; Janšizem). Kot žrtvi mi je dovoljena vsakršna (namišljena) samoobramba.,žalitev
"@KanglerFranc @Medeja_7 @mnz_gov_si @AndrejPlenkovic @aleshojs @JJansaSDS Slaba fotka in slab protokol. Pravilno bi bilo,da Hojs stoji zraven slovenske zastave, Grasova zraven kroatske, ne pa tako, da zakriva slovensko zastavo. Pri protokolu ne bi smeli šalabajzerati.",žalitev
@vladoluznik @sarecmarjan Si ne upa.Mene pa zanima kdaj bo na kaki vedelici?,ni sporni govor
"@lojzi1 @BojankaStern Ta popotresni- upam vsaj, da gre za tega- je bil malo blažji, a je trajal dalj časa, zato je bil bolj neprijeten🤨 Ljudje iz višjih nadstropij v Mariboru javljajo, da prav jadrajo; da jih vozi sem ter tja 🙁 Prvi sunek 5,3; drugi 5, tako da NI ŠLO za popotresni, pravkar javljajo.",ni sporni govor
