,title,text,label,succ,meta,user,mentions,prev
12,German lawmakers approve 'no means no' rape law after Cologne assaults,"Great, now lets have a talk with Africa.",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,JoeSnow,@4armshiver,Probably a lot less. What's your point?
13,German lawmakers approve 'no means no' rape law after Cologne assaults,"Imagine that, Muslims are the problem...?",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,TheNutz,,
14,German lawmakers approve 'no means no' rape law after Cologne assaults,A one-year suspended sentence? Wow. That's really harsh.,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,EdLowery,,
15,German lawmakers approve 'no means no' rape law after Cologne assaults,Even though the woman was lying about the whole thing....LOL,0,You mean all 50?,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,DAB123,,
16,German lawmakers approve 'no means no' rape law after Cologne assaults,You mean all 50?,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Danica70,@DAB123,Even though the woman was lying about the whole thing....LOL
17,German lawmakers approve 'no means no' rape law after Cologne assaults,"This will work great, just like the bracelets they handed out that said don't touch me. Liebrals will never learn. hahahahahahaha",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,justthetruthnobodywantstohear,,
18,German lawmakers approve 'no means no' rape law after Cologne assaults,"Just say ""No."" Yeah that'll stop those nasty rapists, especially the Muslims.",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Adler,,
19,German lawmakers approve 'no means no' rape law after Cologne assaults,"How does one say ""NO"" in Arabic ?",1,"No idea, but an M16A4 will translate any language into Arabic.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,quickfix,,
20,German lawmakers approve 'no means no' rape law after Cologne assaults,"No idea, but an M16A4 will translate any language into Arabic.",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,ShadowSapper,@quickfix,"How does one say ""NO"" in Arabic ?"
21,German lawmakers approve 'no means no' rape law after Cologne assaults,GLOCK,1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,davidfair,@quickfix,"How does one say ""NO"" in Arabic ?"
22,German lawmakers approve 'no means no' rape law after Cologne assaults,"Women aren't allowed to say ""NO"" in arab countries.",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,TLinTN,@quickfix,"How does one say ""NO"" in Arabic ?"
23,German lawmakers approve 'no means no' rape law after Cologne assaults,7.62 x 39 mm,1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Retiredfooll,@quickfix,"How does one say ""NO"" in Arabic ?"
24,German lawmakers approve 'no means no' rape law after Cologne assaults,I think it sounds the same as an M4 bolt chambering a round.,1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,jdcxyz1964,@quickfix,"How does one say ""NO"" in Arabic ?"
25,German lawmakers approve 'no means no' rape law after Cologne assaults,My Lilly Esin once in a blue moon got a new choice of the crop Chevrolet Corvette Stingray Coupe by unavailable off of a laptop... Flash it out.,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,haruzuse,,
26,German lawmakers approve 'no means no' rape law after Cologne assaults,"That's it pass more laws, you know cause paper and ink prevents crime.",0,"Ignorant troll. No one said the new law will prevent crime, just that it will make it easier to prosecute criminals --- which is a good thing.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Nevergofullliberal,,
27,German lawmakers approve 'no means no' rape law after Cologne assaults,"Ignorant troll. No one said the new law will prevent crime, just that it will make it easier to prosecute criminals --- which is a good thing.",0,So if they are alone who has to prove it was said?,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,cdgoldin,@Nevergofullliberal,"That's it pass more laws, you know cause paper and ink prevents crime."
28,German lawmakers approve 'no means no' rape law after Cologne assaults,no habla deutch.... No means white chicks want you more in Arabic mongrelland German politicians that approved of the refugee invaders are responsible for each and every crime committed by these mongrels! German citizens should kick all politicians and refugee invaders OUT!.,1,"German citizens elected Merkel, who LOVES Muslims - and until German citizens take their country back, they are responsible for what happens.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,12345abcde,,
29,German lawmakers approve 'no means no' rape law after Cologne assaults,"German citizens elected Merkel, who LOVES Muslims - and until German citizens take their country back, they are responsible for what happens.",1,is she related to BroBama ?,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Catholica,@12345abcde,no habla deutch.... No means white chicks want you more in Arabic mongrelland German politicians that approved of the refugee invaders are responsible for each and every crime committed by these mongrels! German citizens should kick all politicians and refugee invaders OUT!.
30,German lawmakers approve 'no means no' rape law after Cologne assaults,is she related to BroBama ?,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Retiredfool,@Catholica @12345abcde,"German citizens elected Merkel, who LOVES Muslims - and until German citizens take their country back, they are responsible for what happens."
31,German lawmakers approve 'no means no' rape law after Cologne assaults,when no doesn't work...it is advisable to have some way to protect yourself,0,"How about very sharp, steel tipped shoes. Give the sand monkey several hard kicks in the groin and it will know the meaning of ""NEIN"" !",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Bunnysmind,,
32,German lawmakers approve 'no means no' rape law after Cologne assaults,"How about very sharp, steel tipped shoes. Give the sand monkey several hard kicks in the groin and it will know the meaning of ""NEIN"" !",1,"don't think so because these muzzieazzholes are battle-hardened, decades of being kicked by sheep and goats made them numb",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,retiredhal,@Bunnysmind,when no doesn't work...it is advisable to have some way to protect yourself
33,German lawmakers approve 'no means no' rape law after Cologne assaults,"don't think so because these muzzieazzholes are battle-hardened, decades of being kicked by sheep and goats made them numb",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Legalimmigrant8,@retiredhal @Bunnysmind,"How about very sharp, steel tipped shoes. Give the sand monkey several hard kicks in the groin and it will know the meaning of ""NEIN"" !"
34,German lawmakers approve 'no means no' rape law after Cologne assaults,A really sharp knife and it will only happen once ...............,1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,JoeSnow,@Bunnysmind,when no doesn't work...it is advisable to have some way to protect yourself
35,German lawmakers approve 'no means no' rape law after Cologne assaults,"Germany, another of those wonderful liberal socialist countries where citizens can't carry guns...",0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Arizonasage,,
36,German lawmakers approve 'no means no' rape law after Cologne assaults,"Imagine that, Muslims are the problem...?",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Arizonasage,,
37,German lawmakers approve 'no means no' rape law after Cologne assaults,Merkels legacy. soon to come to your city.,0,"We're armed, Rufus!",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,reallynoway1,,
38,German lawmakers approve 'no means no' rape law after Cologne assaults,"We're armed, Rufus!",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Lurch47,@reallynoway1,Merkels legacy. soon to come to your city.
39,German lawmakers approve 'no means no' rape law after Cologne assaults,Do you really need a law to establish that no means no? Apparently so. Humanity has reached a sad state.,0,STUPID Politicians seeking relevancy to the stupid sheeple!,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,SSBN738G,,
40,German lawmakers approve 'no means no' rape law after Cologne assaults,STUPID Politicians seeking relevancy to the stupid sheeple!,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,12345abcde,@SSBN738G,Do you really need a law to establish that no means no? Apparently so. Humanity has reached a sad state.
41,German lawmakers approve 'no means no' rape law after Cologne assaults,"Learn to read. Previous law required a victim to put up a physical struggle before the rapist could be prosecuted.. The new law only requires her to say ""no"".",0,So if they are alone who has to prove it was said?,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,cdgoldin,@SSBN738G,Do you really need a law to establish that no means no? Apparently so. Humanity has reached a sad state.
42,German lawmakers approve 'no means no' rape law after Cologne assaults,So if they are alone who has to prove it was said?,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,fdjohnson,@cdgoldin @SSBN738G,"Ignorant troll. No one said the new law will prevent crime, just that it will make it easier to prosecute criminals --- which is a good thing."
43,German lawmakers approve 'no means no' rape law after Cologne assaults,Government is the impossibility of reason........... Platoon,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,fdjohnson,@SSBN738G,Do you really need a law to establish that no means no? Apparently so. Humanity has reached a sad state.
44,German lawmakers approve 'no means no' rape law after Cologne assaults,The Germans invited this filth into their once-great nation by electing Merkel -- and handed law and order over to the EU bureaucrats in Brussels. Now they are too timid to take their country back.,1,"And he was given a one year, suspended sentence. Hardly a deterrent.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Catholica,,
45,German lawmakers approve 'no means no' rape law after Cologne assaults,"Until the whole world recognizes Islam for what it is, HATE SPEECH, this type of barbarism will only go on. The Muslims feel it is their right to obey only the laws that they agree with. Sexist attitudes against women are a core belief of Islam.",1,"If Islam was only hate speech, they wouldn't be a problem, just an annoyance. Unfortunately Islam preaches, teaches, demands, applauds and rewards violent behavior. That is much worse than speech.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,lje51,,
46,German lawmakers approve 'no means no' rape law after Cologne assaults,"If Islam was only hate speech, they wouldn't be a problem, just an annoyance. Unfortunately Islam preaches, teaches, demands, applauds and rewards violent behavior. That is much worse than speech.",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,cdgoldin,@lje51,"Until the whole world recognizes Islam for what it is, HATE SPEECH, this type of barbarism will only go on. The Muslims feel it is their right to obey only the laws that they agree with. Sexist attitudes against women are a core belief of Islam."
47,German lawmakers approve 'no means no' rape law after Cologne assaults,If it's not written in Sharia law (and it's NOT) then they (Muslims) ultimately won't care.,1,It's a shame that you have no idea what you are talking about.,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,MortisDei,,
48,German lawmakers approve 'no means no' rape law after Cologne assaults,It's a shame that you have no idea what you are talking about.,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,cdgoldin,@MortisDei,If it's not written in Sharia law (and it's NOT) then they (Muslims) ultimately won't care.
49,German lawmakers approve 'no means no' rape law after Cologne assaults,"Why are liberals always against deporting foreign criminals? They must support their crimes, I guess.",0,"Liberal elites -- insulated from these crimes -- don't care if we get hurt, just so they can feel all tolerant and all.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Mimic1968,,
50,German lawmakers approve 'no means no' rape law after Cologne assaults,"Liberal elites -- insulated from these crimes -- don't care if we get hurt, just so they can feel all tolerant and all.",0,"And he was given a one year, suspended sentence. Hardly a deterrent.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Catholica,@Mimic1968,"Why are liberals always against deporting foreign criminals? They must support their crimes, I guess."
51,German lawmakers approve 'no means no' rape law after Cologne assaults,Liberals are always pandering for votes from criminals.,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,cdgoldin,@Mimic1968,"Why are liberals always against deporting foreign criminals? They must support their crimes, I guess."
52,German lawmakers approve 'no means no' rape law after Cologne assaults,The only thing musIims understand clearly is a good azzkicking.,1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,PolarizedBeyondBelief,,
53,German lawmakers approve 'no means no' rape law after Cologne assaults,"The law wasnt the problem, its the rapist members of a peaceful religion.",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,RustySchackleford,,
54,German lawmakers approve 'no means no' rape law after Cologne assaults,neuter rapists,0,Yes please.,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,YogiCS,,
55,German lawmakers approve 'no means no' rape law after Cologne assaults,Yes please.,0,"It's not a religion. It's a cult of hate, death and destruction.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,TWashington1960,@YogiCS,neuter rapists
56,German lawmakers approve 'no means no' rape law after Cologne assaults,That includes Bill Clinton and Bill Cosby!,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,okcbabe,@YogiCS,neuter rapists
57,German lawmakers approve 'no means no' rape law after Cologne assaults,"The Germans better realize real quick that you can't put a ""no means no"" law in sharia law.",1,"Except in Germany, where Colt, Browning, Luger, et al. are not allowed to practice their function.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,FredDBear,,
58,German lawmakers approve 'no means no' rape law after Cologne assaults,"How about ""Just say no more muslims"" ?",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,childhoodsend,,
59,German lawmakers approve 'no means no' rape law after Cologne assaults,You can expel the Muslims too. That's the problem. They don't care about your laws.,1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,lydiasdad,,
60,German lawmakers approve 'no means no' rape law after Cologne assaults,"Of course no means no. But not to a mooh-slum. Germany allowed these terrorist into their country, now live with it.",1,I get the impression that the German people really didn't have much of a say in it. Just another of example of Merkel/Obama progressivness.,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,dirkshomebiz,,
61,German lawmakers approve 'no means no' rape law after Cologne assaults,I get the impression that the German people really didn't have much of a say in it. Just another of example of Merkel/Obama progressivness.,0,"No say? They elected Merkel, in large numbers.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,retiredhal,@dirkshomebiz,"Of course no means no. But not to a mooh-slum. Germany allowed these terrorist into their country, now live with it."
62,German lawmakers approve 'no means no' rape law after Cologne assaults,"No say? They elected Merkel, in large numbers.",0,"And he was given a one year, suspended sentence. Hardly a deterrent.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Catholica,@retiredhal @dirkshomebiz,"How about very sharp, steel tipped shoes. Give the sand monkey several hard kicks in the groin and it will know the meaning of ""NEIN"" !"
63,German lawmakers approve 'no means no' rape law after Cologne assaults,"No the people didn't the LOUSY LEADER DID, just like ODUMBO IS DOING HERE!",0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,okcbabe,@dirkshomebiz,"Of course no means no. But not to a mooh-slum. Germany allowed these terrorist into their country, now live with it."
64,German lawmakers approve 'no means no' rape law after Cologne assaults,There is no law that will civilize the uncivilized.,1,So Americans will never improve then..,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,MothraSaveUs,,
65,German lawmakers approve 'no means no' rape law after Cologne assaults,So Americans will never improve then..,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,TrumpsBigMouth,@MothraSaveUs,There is no law that will civilize the uncivilized.
66,German lawmakers approve 'no means no' rape law after Cologne assaults,"This law will work: God made everyone, Samuel Colt made them all equal.",0,"Except in Germany, where Colt, Browning, Luger, et al. are not allowed to practice their function.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,FredDBear,@MothraSaveUs,There is no law that will civilize the uncivilized.
67,German lawmakers approve 'no means no' rape law after Cologne assaults,"Except in Germany, where Colt, Browning, Luger, et al. are not allowed to practice their function.",0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Adler,@FredDBear @MothraSaveUs,"The Germans better realize real quick that you can't put a ""no means no"" law in sharia law."
68,German lawmakers approve 'no means no' rape law after Cologne assaults,"Yes there is, it's called capital punishment.",0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,chuck0011,@MothraSaveUs,There is no law that will civilize the uncivilized.
69,German lawmakers approve 'no means no' rape law after Cologne assaults,"The problem was never the law or lack of a law, it was the immigrants the politicians let into the country.",1,And its the reason-one of them anyway that some Muzlim countries do not even allow one of these scumbags into their country. NOT ONE! They knew what would happen with these uncivilized animals and what they would do and they did exactly that to the women -young girls- and even have raped men. They should never be allowed out of their sand boxes.,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,liberalstupidity,,
70,German lawmakers approve 'no means no' rape law after Cologne assaults,And its the reason-one of them anyway that some Muzlim countries do not even allow one of these scumbags into their country. NOT ONE! They knew what would happen with these uncivilized animals and what they would do and they did exactly that to the women -young girls- and even have raped men. They should never be allowed out of their sand boxes.,1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,holygrailer,@liberalstupidity,"The problem was never the law or lack of a law, it was the immigrants the politicians let into the country."
71,German lawmakers approve 'no means no' rape law after Cologne assaults,"That just isn't going to work. How many different languages do German women need to learn to say ""no"" in? I'd assume Arabic would be a key one.",1,hot high speed lead is an international language,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,ChucklesM,,
72,German lawmakers approve 'no means no' rape law after Cologne assaults,hot high speed lead is an international language,1,They should allow the German women weapons to protect themselves.,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,GoReaganGo,@ChucklesM,"That just isn't going to work. How many different languages do German women need to learn to say ""no"" in? I'd assume Arabic would be a key one."
73,German lawmakers approve 'no means no' rape law after Cologne assaults,They should allow the German women weapons to protect themselves.,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,holygrailer,@GoReaganGo @ChucklesM,hot high speed lead is an international language
74,German lawmakers approve 'no means no' rape law after Cologne assaults,"Or......fathers, brothers, cousins of the women should protect them. How about that?",0,Sounds like Islam...a woman cannot leave her house unless accompanied by a male relative.,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,ChucklesM,,
75,German lawmakers approve 'no means no' rape law after Cologne assaults,Sounds like Islam...a woman cannot leave her house unless accompanied by a male relative.,0,"If in an Islamic country the raped woman is considered to have dishonored her family and subject to beatings by her family if not subjected to an ""honor killing"".",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Artitu,@ChucklesM,"That just isn't going to work. How many different languages do German women need to learn to say ""no"" in? I'd assume Arabic would be a key one."
76,German lawmakers approve 'no means no' rape law after Cologne assaults,Then let them get raped. I don't really care. Go near one of the women in my family though. Different story.,1,Add to that....if they do protect the women--there should be no prosecution for them for what they do to these scumbags.,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,ChucklesM,,
77,German lawmakers approve 'no means no' rape law after Cologne assaults,"If in an Islamic country the raped woman is considered to have dishonored her family and subject to beatings by her family if not subjected to an ""honor killing"".",0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,retiredhal,@Artitu @ChucklesM,Sounds like Islam...a woman cannot leave her house unless accompanied by a male relative.
78,German lawmakers approve 'no means no' rape law after Cologne assaults,Add to that....if they do protect the women--there should be no prosecution for them for what they do to these scumbags.,0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,holygrailer,@ChucklesM,"That just isn't going to work. How many different languages do German women need to learn to say ""no"" in? I'd assume Arabic would be a key one."
79,German lawmakers approve 'no means no' rape law after Cologne assaults,This is a religion that condones the treating of women as chattel. You let them into your country. What did you expect??,1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,marshee,,
80,German lawmakers approve 'no means no' rape law after Cologne assaults,"Saying ""no"" does not stop rapists. Keeping droves of men with ""raping"" mentality out of the country and arming people for self defense will help curb the rapes.",1,"""Too?"". Better add grammar checkers to your list.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,AlexanderHamilton76,,
81,German lawmakers approve 'no means no' rape law after Cologne assaults,You can make all the laws you want. They won't control savages. You can dress an animal up like a man; it doesn't make it a man.,1,See NFL,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,PhilKel,,
82,German lawmakers approve 'no means no' rape law after Cologne assaults,See NFL,0,"Bernie can feel himself, thank you.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,GoReaganGo,@PhilKel,You can make all the laws you want. They won't control savages. You can dress an animal up like a man; it doesn't make it a man.
83,German lawmakers approve 'no means no' rape law after Cologne assaults,if u have a job...do it right. they are in demand now and we don't need blackasses acting like monkeys. GIT ur ACT TOGETHER.,1,Too things I hate the most. Hoplophobes and Racists.,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,gilshuttlecok,,
84,German lawmakers approve 'no means no' rape law after Cologne assaults,"""No"" should have always meant no. Just enforce laws and stop procrastinating and avoiding doing your job !!",0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,warvetru,,
85,German lawmakers approve 'no means no' rape law after Cologne assaults,"And this is the vaunted ""European Society"" America's liberals want us to emulate?",0,Feel the bern,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Sooreborn,,
