tweet,is_offensive,sporni_govor
"@ZigaTurk @martinvalic @Josko71CE @LajnarEU @RTV_Slovenija @JozeMozina Čestitke in hvala, lepo vas je bilo poslušati.",ni sporni govor,0
"@multikultivator Zakaj pa samo 7 dni?
Čas za oceno švedskega modela bo pa sicer po drugem valu.",ni sporni govor,0
"@janez_tomazic Ukrepi gredo kot kaže v pravo smer. Kar je dobro za vse. Absolutna servilnost do vlade, katerekoli, nikoli ni novinarska vrlina, to želim poudariti.",ni sporni govor,0
"Glede socialnih pomoči,  ima predsednik vlade delno prav. Prejemat jo mora tisti, ki jo resnično potrebuje.
Samo zakaj se tu gleda vedno Slovence. Nič tujce in migrante. Ti živijo na sociali po večini, celo v tujino jim jo naša država nakazuje.",žalitev,1
@JozeBizjak @ToneCricket Pa kaj pa je njemu kupit nov avto... kot meni pico....,ni sporni govor,0
@nadkaku Ogled mlajšim od 15 let dovoljen le v spremstvu staršev ali skrbnikom.😂,ni sporni govor,0
"@TS30040393 @JJansaSDS Ne, tote so ofce na biciklu 😜 https://t.co/EJddHQWWuf",žalitev,1
"@MatjaNemec @JozeBiscak @milan_brglez Resnično degutantno je primerjati Tita in Mussolinija. Med njima namreč ni nobene razlike, razen te, da je Musolini 45- tega visel, Tito pa je revolucionarno morijo nadaljeval celo po končani vojni, torej po letu 45 !
Kdaj bo odstranjen napis na Sabotinu ?!",žalitev,1
"@MarjeticaM To ne razloži tega, zakaj sta v VB, ki se ukvarja s 164 okuženimi, dva že umrla, v Nemčiji, ki zdravi 711 obolelih, pa na srečo nihče še ni umrl. Morda odvisno od starostne strukture okuženih.",ni sporni govor,0
"#Požareport 
Ponedeljskova nezaupnica proti @APivec zarota in prevara: ljubljanski @stranka_DeSUS terja zapisnik in pojasnila, vpletena tudi @isoltesEP in Primož Heinz?!
Več: https://t.co/Yol26bY39e @tomazgantar https://t.co/EQvO0ygCZG",ni sporni govor,0
"@AngelcaSonja @BineTraven @ZenskiforumSD @strankaSD @Mladiforum In to stranka, ki na veliko zagovarja gender teorijo!🧐",ni sporni govor,0
"@KokJan get woke on the ""FDVjovci so enako dobri o znanosti kotznanstveniki"" question",ni sporni govor,0
"Merklova bi pomoč vzhodu Nemčije, Morawiecki bi kmetijske subvencije, Macron bi Erasmus, Kurz in Skandinavci bi čimmanj. Je že jasno za kaj se zavzema odstopljena @vladaRS?
https://t.co/iQ73zH5sKd",ni sporni govor,0
"@Primoz_Kovacic Jih še kdo uporablja???
Kar se mene tiče naj jih na stacionarce dajo🙊🤣🤣🤣",ni sporni govor,0
Bo koronavirus zamaknil integracijo Slovencev iz Venezuele? https://t.co/rqNlxqLlq3,ni sporni govor,0
"@dusankocevar1 Pravijo, da gre osel samo enkrat na led. Nekaterim vam pa uspe to večkrat. Vsak novi obraz v politiki pa to. Ni se vam treba bati za nas, ker tega ne počnemo in na stvari pač kritično gledamo.",žalitev,1
"@PreglArjan Kronologija dogodkov pravi drugače. Začela je ona.
Začelo se je že v Yu, ko so morali nekateri izprazniti stanovanja , če se je ona najavila na obisk.
O njej kot o osebi, vse najslabše.
O njej kot o umetnici nič. Saj je bil tudi Hitler zapovedan umetnik za svojega življenja.",žalitev,1
"Nasmeh je najlepši ""make-up"" na obrazu, prikrije vse sledi, tudi tiste, ki na zunaj niso vidne.
Nisi ga s ponosom 😁
Želim vam prijeten in nasmejan dan https://t.co/EuTh6gpySs",ni sporni govor,0
"@damijanterpin Ne moje dejanje, določba zakona. US ni nikoli ugotovilo, da je DZ ravnal napačno, ampak da je bil zakon neustaven. Lepo popoldne.",ni sporni govor,0
"No to, kakorkoli obračamo, prostor za življenje in dejavnosti v mestu določa to, kako se po prostoru premikamo. https://t.co/MB1emrbfK9",ni sporni govor,0
"@BineTraven @MStrtak @Pertinacal @drVinkoGorenak @BojanPozar @sarecmarjan @RTV_Slovenija Ahaha, dobra finta :))))

Ne, cenzurira po partijski liniji, še navajen iz Požarevca (Maribora, očka in stric sta takrat vladala).",žalitev,1
"Pa kaaakooooo??? Če smo pa ja vsi doma, samo zlobni nekaj o registrskih natolcujejo... https://t.co/J1whPxML9v",žalitev,1
"CCA. 1800 MRTVIH ZARADI KORONAVIRUSA V ENEM DNEVU V ZDA: 
US reports biggest daily increase in coronavirus deaths, with NY at epicentre https://t.co/BsWU1WwATu",ni sporni govor,0
"@ModernaKmetica @TanjaCvitko Midva sva za mulca nekaj časa nabavljala pri junaku, ki je delal krasne torte. Potem je pa enkrat bila situacija, da takrat, ko smo rabili torto, on ni mogel naredit. Pa je bilo treba zgruntat. Zdaj pa mami dela fenomenalne torte, ki vsakega mulca iz hlač strese :)",ni sporni govor,0
"Ne pozabimo na Grčijo, kjer se brani Evropa in njena civilizacija! https://t.co/oM9glU6OE2",žalitev,1
"Zakaj je domnevno vdiranje hekerjev v farmacevtske firme in iskanje podatkov o cepivu dobilo toliko medijske pozornosti in zakaj enake obsodbe niso bile deležne firme, ki so te podatke skrivale oz. jih očitno niso hotele deliti?",ni sporni govor,0
"... za migrante topli zabojniki, javni zdravstveni delavci in pacienti v mrzlih šotorih? https://t.co/6TIhTZx1Nj",ni sporni govor,0
"@Soulata @ukclj @JanaNovak11 Ne zali SDS - a, ker zdaj najbolj garajo .. ker ce bi imeli se komika na sceni, bi bila stvar se dosti bolj alarmantna ... najboljsa vlada in ministri do sedaj .. vse pohvale ..",ni sporni govor,0
"@_modroplavo A ti je že kdo povedal, da so tvoji komentarji in vprašanja največkrat uporabni manj kot prst pri kronični driski?",žalitev,1
"@svoboda_govora @APivec @PocivalsekZ @MatejTonin @blaz_zgaga @p_zoran @Matej_Klaric @Blaz_88 @Svarun_K @AnzeBozic @TjasaSlokar @SabinaZonta @mihamale @SuzanaP24ur @UrosEsih @MatijaStepisnik Vlada ima nadzor, Predalič je samo posredovalec. Ti je dobro znano.",ni sporni govor,0
"Mogoče to izkoristimo, da vzpostavimo tud gospodarski kontakt. Sicer spet, si tega najbrž ne želimo? Ali pač. Glede na to, da z USA je precej nejasnosti..",ni sporni govor,0
"@RomanVodeb @IgorPribac Upravičeno. Vse levajze vas je lahko sram. Tudi jaz sem po nekem dost zoprnem testu neke sorte levičarka, pa si raj luknjo v koleno z bormašino zvrtam, kot da bi podpirala to podivjano drhal. Iskreno, me je bilo kar malo sram, ko se je pokazal rezultat. https://t.co/N21LH1Bmh8",žalitev,1
"@kkogovsek @specificen @paroksizem @MartinTincek @ukclj @TarcaRTVSLO @RTV_Slovenija @rtvslo Obrni se na fašista Kordiša. Pa poglej, če je Šarčev bazen še prazen in so krofi že vzhajali... 
Najbolj mi gre na živce osladno govorjenje politikov, s katerim lovijo naivne volilce, dejansko pa nikoli ne izpolnijo svojih obljub. Laž je nesmrtna duša komunizma.",žalitev,1
"Oboževalci v odprtem pismu prosijo za zamik premiere novega Bonda

https://t.co/1HlL5beWoj",ni sporni govor,0
"@Turinek Minister za družino ne bi sploh smel biti nekdo žene/moža in brez otrok. Le tak človek namreč ve ""za kaj se gre"".",ni sporni govor,0
"@Miran7777 @MarkoSket imamo romska (ciganska) geta kjer so isti vzorci obnašanja kot v črnskih
https://t.co/sUn8mjhuQU",žalitev,1
"@FrenkMate Odsvetujem boj z nekom, za katerega menite, da vas bo vedno premagal ali ugnal. Prekvalificirajte nasprotnika.",ni sporni govor,0
"@TankoJoze Cimprej, tem bolje..dosti ste lomastili po demokraciji in drzavi..",žalitev,1
"@strankalevica @LukaMesec Ne pravim da je prav, niti narobe, enostavno ne vem. Me pa zanima, koliko opozicijskih amandmajev je takratna koalicija sprejela ob sprejemanju letošnjega proračuna? In prosim, dajmo se pri štetju za pretvarjat da Levica ni bila opozicijska stranka.",ni sporni govor,0
"In ja, uganili ste... naša politika je seksistična. Le kdo se je spomnil teh kvot, a? Medtem so američani seksisti in rasisti. Pa še zdaleč se teh kvot niso spomnili desničarji aka ""rasisti"". #sampravim",žalitev,1
Ocitno ni slo zgolj za nekaj nedolznega... Hvala prijatelj @Tomas38A za tale nazorni prikaz 👍 https://t.co/A3rWFmNfv2,ni sporni govor,0
"@petrasovdat Rut mi smo v Lj. morje bo malo počakalo, da se te horde razkadijo. Tole ni čist normalno na meji. https://t.co/awJE2UuAWh",žalitev,1
"@aleshojs Bog ve a je pobudnik levicar? Edino ti imajo interes ze 70 let skodovati ljudem neglede na ceno. Prav nobene razlike ni v koncnem rezultatu za nekega 60,70 letnika a ga zadane krogla pred breznom ali doleti koronavirus mogoce le, da krogla hitreje opravi!",žalitev,1
"Jaz pa samo čakam ,kako dolgo še bo tist kljun sukal. https://t.co/aPf5UkfA9F",žalitev,1
"» DOMOVINA », POGLEDI Kaj si L. Jelušič, Žiga Turk, Jože Možina in Ernest Petrič mislijo o domovini (video) 18. junija 2020 Svoje razmišljanje o delovanju demokracije je predstavil tudi dr. Turk, ki je dejal: »Ali demokracija funkcionira ali ne, se izkaže v tem, ali ima rezultate",ni sporni govor,0
"@megafotr @drfilomena Kako že gre to? Ne prebavljate sekte, hkrati jo pa podpirate! Za to logiko pa že rabiš briljantni um..sicer pa čemu bi""naša""  vojska rabila tanke na ulicah..da bi s kanoni napadla virus?!",ni sporni govor,0
"Khm, nekako se ujema z otvoritvijo v Šiški. Mogoče je pa vse res https://t.co/LUGBw6w6BH",ni sporni govor,0
"@TankoJoze @BStrnisa Če bi želeli poslati vojsko na severno mejo, bi bili Levičarji takoj ZA.",žalitev,1
"Uau, #OrangeManBad bolniki še vedno po zobeh vlečejo Trumpa in vremensko karto? Ker je izpostavu morebiten worse-case-scenario? Ker četudi so bili vremenarji prepričani v drugačno sliko, se slednji tudi (pre)pogosto motijo. https://t.co/a5KG2My1dF #noro",žalitev,1
In potem se oglasi “kapitan Costa Concordie”. Neokusno. https://t.co/rZfJfWTEjJ,žalitev,1
"(PODKAST) Polcajt #22 je v @vecer-ovi podkastarni. Z @mihadajcman ugotavljava, kako se je na prvi domači tekmi po epidemiji znašel @nkmaribor, kakšna bo vijoličasta ekipa v naslednji sezoni in kdo ima največ možnosti v troboju za naslov v @PrvaLigaSi.   
https://t.co/dMFLe1kmmr",ni sporni govor,0
"@SavliKlemen @JJansaSDS Iz tvojih ust v božja ušesa, samo dopovej to ljudem, ko leva medijska ofenziva dela vse, da jih očrni.",žalitev,1
"Maja 1989 smo z  Majniško deklaracijo odločno rekli – “hočemo živeti v suvereni državi slovenskega naroda”, osamosvojitev pa ima korenine v cvetni nedelji 1990
https://t.co/ZCfbPUvBso https://t.co/FLg96DlI2U",ni sporni govor,0
"In tukaj bi vam sedaj povedal zgodbo, o kateri sem razmišljal kar nekaj ljubezenskih mesecev majev, ko so se od Maribora skozi Dravsko dolino proti Pliberku valili avtobusi hrvaških in bosanskih registracij, okrašeni s slikami Anteja Pavelića in drugih ... https://t.co/58lP3i7w91",ni sporni govor,0
"@matejzalar Iz radovednosti... Katera pa je ""najboljša guma na svetu""? :) For future reference...",ni sporni govor,0
@EddieDonovan @matejpirnat Upam da je res antifašist in da sta oba njegova starša in tudi vsi na tej policijski postaji in vsi v mestu iz katerega je antifašisti. Ampak to ne pomeni da ima ta fant resne probleme da je šel razbijati avto. Bo moral delat na tem da to odpravi.,ni sporni govor,0
"@vladaRS @NIJZ_pr @MinZdravje To je ca. 35 novo okuženih ob “normalnem” številu testiranj.
Kaj boste naredili @vladaRS @NIJZ_pr @MinZdravje, kako boste ukrepali?
Aplikacija ne bo rešila vedno večje težave, kot tudi ne Krek, ki je zgubljen v (svojem) vesolju.",žalitev,1
"@DFK01 @Miha_Sch @MarkoZupan2 @ales_primc @hladnikp @IgorGoste @RTV_Slovenija @Nova24TV @RadioOgnjisce @druzinadoo ""Če komu pomaga: Avstrijci so pred kratkim odločili, da bo bosta pri njih TV in radio naročnina še naprej.""

Mogoče pa njihova televizija ni v rokah skrajnih levičarjev kot naša,....pa je potem za ljudi bolj sprejemljiva?",žalitev,1
"KAPO DOL! 🙇‍♀️ S SVOJIM TRUDOM IN DELOM USPEŠ DOSEČI TOČNO TO, KAR SI SI ZAMISLIL, ZAŽELEL ... BRAVO! 👏 https://t.co/dz140ddJ88",ni sporni govor,0
"@Pertinacal Kljub temu, da se ne strinjam, da so v najvisjem placnem razredu, ze zaradi simbolike bi lahko bili v najnizjem (kaj pa je pri 4800€ bruto 400€ bruto vec?), je neposteno recti, da so bile place v prvem paketu... Vsak delodajalec mora ob nastopu dela dolocit placo delavcu...",ni sporni govor,0
@rokjarc @JanezPogorelec lol. večino je imela takrat levica. v vsakem primeru bi bil ivoljen čefurin.,žalitev,1
"#ivanretvita RT @Nova24TV: Peticija v podporo vladi zbrala že 48 tisoč podpisov! “Potrebujemo vlado, ki zna in zmore – in taka vlada potrebuje nas!” https://t.co/WRWd1ao2Qp via @Nova24TV",ni sporni govor,0
Dobre novice z Otoka: zdravstveno stanje Borisa Johnsona se izboljšuje https://t.co/nHBENJXy5r https://t.co/ClZ4vUf6Cy,ni sporni govor,0
"@FPlevnik @IsmeTsHorjuLa Ni bil članek, novinarji tega itak ne bi dali v javnost.",ni sporni govor,0
"Včeraj mi je v roke prišlo očetovo spričevalo, leto 1938/39, iz državne petrazredne ljudske šole. Prav dober uspeh na te ocene? 😮 https://t.co/1pzpxstQjo",ni sporni govor,0
"@BSkelaSavic @breki74 @NIJZ_pr Očitno tako strokovna, da ne poznajo osnov epidemije. Je že res da brez zdrave pameti se nito čevljev ne obuješ. https://t.co/jHRn2gBLX7",žalitev,1
"Pravijo, da kriza potegne najboljše in najslabše iz ljudi. Ne vem pa, v katero kategorijo, najboljšega ali najslabšega, sodi zatekanje politikov k socialističnim ukrepom za reševanje gospodarstev po Evropi. V nekriznih časih vztrajno korakajo v kontra smeri.",ni sporni govor,0
"@Mauhlerca @SpelaSpelca Laži brez pol državnega aparata, kot brez pol gospodarstva. 
Pa ne bomo se preveč naprezal, ravno prav, da bo za plače, k nam jih noben ne da...",ni sporni govor,0
"Frisn, maj 2020. Poglej komu sledi in kaj pise. Hujsi kot ""balkanski spijun"". Blok! https://t.co/No70VoNapC",žalitev,1
"@FranciKek Ma boli nas, kaj boste vi protestniki rekli.  Prvega od vas, ki se bo stegnil zaradi COVI-19, bom predlagal za Darwin award.",žalitev,1
"Na Hrvaškem ni zmagala desnica. Zmota. Pomota. Plenković sestavlja koalicijo s sateliti...
https://t.co/RQwhCHEvan https://t.co/xWec29VulO",žalitev,1
"Ne pozabite zavrteti včerajšnji @Faktor_com .Na @RTV_Slovenija ga gledajo na skrivaj, vi ga pa lahko javno, v krogu družine seveda.
 Včeraj odlična @MatevzTomsic in @NeuroVirtu",ni sporni govor,0
"@AlphaCohortes @PreglArjan Če je to najboljše, kar premoremo, smo gotovi. 2 miljona nas je in Jajo nas bo skregal do konca. Tako kot Trump ameriko. Deli in vladaj. To je Janša. Povej mi, kaj je lahko slabše od tega?",žalitev,1
"@dtadejd @jakobxyz @MatevzTomsic @Fitzroy1985 @JernejPikalo @sarecmarjan @MiroCerar @vladaRS Formalno jih je, dan pred izvolitvijo nove vlade v DZ res nekaj.

A najbolj indikativno je njihovo obnašanje glede SNAV in ignoranca ter posmehovanje tistim, ki so opozarjali, da se je potrebno pripravit in ravnat preventivno. Se še spomnim Šarčevih nebuloz s tiskovnih!",žalitev,1
"Mene so ukinili na MMC, pa je tam polno bolj nestrpnih vsebin. Tudi zato podpiram peticijo RTV https://t.co/B7Ddt6mHcT",ni sporni govor,0
Nova izzivanja Erdoganove Turčije! Na sporne dele Sredozemskega morja pošilja ladje ter provocira Grčijo  https://t.co/UsA23R2YGf https://t.co/oOQdoz5udV,ni sporni govor,0
"Turki bodo Hagijo Sofijo pustili odprto za turiste, krščanskih ikon ne bodo odstranili https://t.co/L6uLsCKN4J https://t.co/pFK5sBWXG0",ni sporni govor,0
@mojcaskrinjar @TVOdmevi @StrankaSMC Pričakovano! Res se jim že dobesedno blede!!!,žalitev,1
"""Ampak se je seveda to vse na glavo postavilo, ker so bili najbolj funkcionalni mladi odrasli ljudje iz patriarhalnega tipa družine.""",ni sporni govor,0
In kako lahko minister financira medije ki pljuvajo po Jansi...Danasnji faktor..kje je tu logika? https://t.co/U4kfXTKARq,ni sporni govor,0
"@StrankaLMS @KovacicAljaz Z roko do komolca v marmeladi. + vse nezakonite zaposlitve v zadnjih dnevih stare vlade s 3 dnevnimi razpisnimi roki. + vse pogodbe, ki so bile podpisane v zadnjem trenutku. Vse bo potrebno preklicat. Lopovi. @StrankaLMS

https://t.co/OVDidZBT38",žalitev,1
"SAB je postala SLA

Ce delas projektno vlado, to pomeni, da naceloma tega ne pocnes iz ideoloskih razlik

Da pa  @AlenkaBratusek ze v startu izloci poziv @strankaSDS

Pa je cista ideologija in njena laz o ""projektni"" vladi

Stranka Laznive Alenke - SAL

 https://t.co/Dkm12d22i8",žalitev,1
@JoeVantur @FranciKek @JozeJerovsek @ZigaTurk @Dnevnik_si @PopTV A še nisi pozabo? 😁,ni sporni govor,0
"@FrenkMate @BozidarBiscan Hhahahahaha...res sem se nasmejal. Domobranci so nastali iz vaških straž in klerikalne bele garde (beri 80% četnikov...Jaka Avšič, Karl Novak) in so bili pomožna policijska enota nemškega Wermachta.",ni sporni govor,0
"@2pir_a @carantanians @zaspanko @davorvrban @sodnik @D_Jasmina @NeuroVirtu @vladaRS Vojska bo izključno na J meji za to, da bo v notranjosti policija.",ni sporni govor,0
@jernejpro Če gre tako naprej bomo med top 5 po izvedenih testih na mio prebivalcev.,ni sporni govor,0
"Zlahka bi ukinili medobčinske omejitve, saj se izven domov za ostarele okuži manj kot 10 ljudi dnevno. Ampak ne! https://t.co/UjDbvpxXAC",ni sporni govor,0
"Vsi MSM in nekateri,ki pravite,da ste nevtralni nehajte nakladat in zavajat.Vlado imamo 1 teden ,kaj če bi povedali še to kaj je naredila dobrega.",žalitev,1
"@Chuppacadabra Kartonasto škatlo bi mu moral nekdo naštimat, da se stlači vanjo. 😁",ni sporni govor,0
"@STA_novice Ko se Trnljulčica zbudi iz dolgega spanca....in stopiti v nov svet....kjer so same lepe stvari, sonce sije, trava in rožice rastejo ter ptički pojo😉😎",ni sporni govor,0
"@VeraG_KR @antigravitypill Saj to njegov štos. Edini. S podpihovanjem svojih medijev je državljane tako prestrašil pred migranti, da je to vse kar jih zanima. Vse ostalo je nepomembno.",žalitev,1
"@LottaS10 Groza, na Galaksvagen,(ne vem, če sem prav napisala) živi prijateljica moje mami. Tam se mi je zdelo kot pri nas na Kofcah.",ni sporni govor,0
"@Sashana34616986 @radioPrvi @Val202 @a_kocjan @BorutPahor Kot razumem ste mlada oseba in sete leta 1991 še cuzala prst, glede razprodaje je to del družbenega sistema , ki smo ga zamenjali in naj ne bilo več državne lastnine, vse zamenja trg (plebiscit). Kdo pa ima vizijo in kakšno pa je del demokratičnega sistema , volivci odločajo.",ni sporni govor,0
"23 novih okužb, domovi za starejše občane ogrožena območja https://t.co/f9teBxBlik",ni sporni govor,0
"@sivanosoroginja buteljka je zaprta ... dejansko so tak škrti, da za fotkanje nočejo odpret vina",žalitev,1
"@marjanritonja @rose_roseae Bumbar vse je baje  odobrila  @jelka_godec zraven so se pa Jaklin, Terce pa Zdravc drli naj na ZBR podpišejo.",žalitev,1
@ToneCricket Brez dlake na jeziku ....in brez dlake na ....češplji....gladko obrita ....yummy....za pocuzat!!!,ni sporni govor,0
@matejzalar @JazbarMatjaz Res je. A ta številka je vsaj neko orodje. Brez nje ni nobenega (za vse te mnoge trdoglavce).,žalitev,1
"@JJansaSDS TA BOSANSKI OVCE JEBAČ ZALTAN ČORDID
SI DOVOLI
TA JE V BOSANSKIH HRIBIH JEBAL OVCE IN BUKVE
SE PRITEPEL KOT LAČEN POSRANEC V SLOVENIJO
ZDAJ PA SE ŠOPIRI KOT OVEN
JA ČE OVCE JEBCU SMRDI SLOVENSKA NARODNA GLAZBA
PRVI VLAK ZA BOSANSKA BRDA OVCE JEBAT! https://t.co/p4uojEY7ur",žalitev,1
Romana Tomc: Ob umetni inteligenci rabimo tudi nova pravila o varstvu potrošnikov https://t.co/Mw88mhlA1F,ni sporni govor,0
"Tehnična in druga pomoč 2. 05. 2020 02:51
Ob 2.51 je na Zdraviliški cesti v Podčetrtku prišlo do močnega puščanja plina iz plinohrama. Posredovali so gasilci PGD Steklarna Rogaška Slatina, ki so zavarovali kraj dogodka, ...
https://t.co/tYPCWHHzds",ni sporni govor,0
"Do odgovora, kako zelo so družbena omrežja pomembna za vaše podjetje, vas loči le en klik! 🙃➡️ https://t.co/uzy9YAwHib",ni sporni govor,0
"@ajitamxy @JozeBizjak @BojanPozar @joze_poglajen @RTV_Slovenija @strankaDeSUS @JJansaSDS @sarecmarjan Oditi so morali zaradi sendvičev, makete, prevažanja kontrabasa z državnim avtom, predolgega jezika in podobno ""kriminalnih"" dejanj. Še dobro, da je Šarec kmalu ugotovil, da poslanci in ministri niso kandidati za papeža! Toliko o preprogi. Pa srečno.",ni sporni govor,0
"@LukaSvetina Troha se proti Janši bori z Josipom Brozom?! Primerno za prisilno psihiatrično zdravljenje? Res se mu je skisalo, kakor tudi njegovim aposolkam+sledilcem. Če se želite nasmejati, obiščite njihov site in poslušajte, kaj ima gospodinja+natakarica povedati!
https://t.co/Z6QT8c7bMj",žalitev,1
@borisvasev Uživajte v denarju lastnikov el. priključkov dokler še lahko. https://t.co/rmyOByEpG9,ni sporni govor,0
"Tale mala pisodica solate je dala od sebe 3 srednje skodele solate. Tole bo zadnja, nato bom vso populila in na novo posejala. 
Tolk, da mate mal občutka, kolk se da nardit na balkonu. 👊👍 https://t.co/16s2ZcE1qg",ni sporni govor,0
@SVesel @petra_jansa @mojcav1 @policija_si Petra ni iz njihovega posvečenega gnezda.,ni sporni govor,0
"@dragnslyr_ds V naši hiši vse deluje in boli me za folk k se šeta. Sam ne pol zbolevat, k so tolko na soncu in ne depresije Moja hči dela v bolnici in pravi, da bo dala odpoved in se šla šetat, da ne bo izgorela. Ker ne bo več predana poklicu.",ni sporni govor,0
@Libertarec Stvar značaja. Stvar neizživetega narcizma. Sovraštvo do drugega človeka ni ravno vrlina in posebnost. Torej naredim iz imena -izem in sem na enkrat v vlogi žrtve sistema (Janša =&gt; Janšizem). Kot žrtvi mi je dovoljena vsakršna (namišljena) samoobramba.,žalitev,1
