,tweet,is_offensive,sporni_govor
46,Pa kaaak Če smo pa ja vsi doma samo zlobn nekaj o regist natolcuj,žalitev,1
47,CCA 1800 MVIH ZARADI KORONAVIRUSA V ENEM DNEVU V ZDA US report bigges daily increas in coronavirus deaths with NY at epicen,ni sporni govor,0
48,Midva sva za mulca nekaj časa nabavl pri junak ki je delal krasn torte Potem je pa enkrat bila situa da takrat ko smo rabil torto on ni mogel naredit Pa je bilo treba zgrunt Zdaj pa mami dela fenom torte ki vsak mulca iz hlač stres,ni sporni govor,0
49,Ne pozab na Grčij kjer se brani Evrop in njena civiliz,žalitev,1
50,Zakaj je domnev vdiran hekerj v farma firme in iskan podatk o cepiv dobil tolik medijs pozornos in zakaj enake obsodb niso bile deležn firme ki so te podatk skriv oz jih očitn niso hotel delit,ni sporni govor,0
51,za migran topli zabojnik javni zdravs delav in pacien v mrzlih šotor,ni sporni govor,0
52,Ne zali SDS a ker zdaj najbol garaj ker ce bi imeli se komik na sceni bi bila stvar se dosti bolj alarm najbol vlada in minist do sedaj vse pohval,ni sporni govor,0
53,A ti je že kdo poved da so tvoji komentar in vpraš največ uporab manj kot prst pri kronič drisk,žalitev,1
54,Vlada ima nadzor Predalič je samo posred Ti je dobro znano,ni sporni govor,0
55,Mogoč to izkoris da vzpostav tud gospodar kontak Sicer spet si tega najbrž ne želim Ali pač Glede na to da z USA je precej nejasnos,ni sporni govor,0
56,Upravič Vse levajz vas je lahko sram Tudi jaz sem po nekem dost zoprn testu neke sorte levičar pa si raj luknj v kolen z borma zvrta kot da bi podpir to podivj drhal Iskren me je bilo kar malo sram ko se je pokaz rezult,žalitev,1
57,Obrni se na fašist Kordi Pa poglej če je Šarčev bazen še prazen in so krofi že vzhaj Najbol mi gre na živce osladn govorj politik s kater lovij naivn volil dejans pa nikol ne izpoln svojih obljub Laž je nesmrt duša komuniz,žalitev,1
58,Obožev v odprt pismu pros za zamik premier noveg Bonda,ni sporni govor,0
59,Minister za družin ne bi sploh smel biti nekdo ženemož in brez otrok Le tak človek namreč ve za kaj se gre,ni sporni govor,0
60,imamo romsk cigans geta kjer so isti vzorc obnaš kot v črnsk,žalitev,1
61,Odsvetuj boj z nekom za kater menit da vas bo vedno premag ali ugnal Prekvalificiraj nasprot,ni sporni govor,0
62,Cimprej tem boljedos ste lomast po demokr in drzav,žalitev,1
63,Ne pravi da je prav niti narob enostav ne vem Me pa zanim kolik opozi amandmaj je takrat koali sprejel ob sprej letošn proračun In prosi dajmo se pri štetj za pretvar da Levic ni bila opozi stran,ni sporni govor,0
64,In ja uganil ste naša polit je seksistič Le kdo se je spomn teh kvot a Medte so ameri seksis in rasis Pa še zdaleč se teh kvot niso spomn desničar aka rasis samprav,žalitev,1
65,Ocitn ni slo zgolj za nekaj nedolz Hvala prijatel za tale nazorn prikaz,ni sporni govor,0
66,Rut mi smo v Lj morje bo malo počak da se te horde razkad Tole ni čist normal na meji,žalitev,1
67,Bog ve a je pobudnik levicar Edino ti imajo interes ze 70 let skodov ljude negled na ceno Prav noben razlik ni v koncn rezult za nekeg 6070 letni a ga zadan krogl pred brezn ali dolet koronavirus mogoc le da krogl hitre oprav,žalitev,1
68,Jaz pa samo čakam kako dolgo še bo tist kljun sukal,žalitev,1
69,DOMOVINA POGLEDI Kaj si L Jelušič Žiga Turk Jože Možin in Ernest Petrič misl o domov video 18 junij 2020 Svoje razmi o delov demokr je predstav tudi dr Turk ki je dejal Ali demokr funkcion ali ne se izkaž v tem ali ima rezult,ni sporni govor,0
70,Kako že gre to Ne prebav sekte hkrat jo pa podpir Za to logik pa že rabiš brilj umsicer pa čemu binaš vojsk rabil tanke na ulicah bi s kanon napadl virus,ni sporni govor,0
71,Khm nekak se ujema z otvorit v Šiški Mogoč je pa vse res,ni sporni govor,0
72,Če bi želel posla vojsk na severn mejo bi bili Levičar takoj ZA,žalitev,1
73,Uau OrangeManBad bolnik še vedno po zobeh vleč Trump in vremen karto Ker je izpostav morebit worsecasescenar Ker četud so bili vremenar prepr v drugač sliko se slednj tudi prepogos motij noro,žalitev,1
74,In potem se oglas kapit Costa Concor Neokus,žalitev,1
75,PODKAST Polcaj 22 je v podkastar Z ugotavljav kako se je na prvi domač tekmi po epide znašel kakšn bo vijoličas ekipa v nasled sezon in kdo ima največ možnos v troboj za naslov v,ni sporni govor,0
76,Iz tvojih ust v božja ušesa samo dopovej to ljude ko leva medijs ofenz dela vse da jih očrni,žalitev,1
77,Maja 1989 smo z Majni deklar odločn rekli hočem živet v suver držav sloven narod osamosvojit pa ima koren v cvetn nedelj 1990,ni sporni govor,0
78,In tukaj bi vam sedaj poved zgodb o kater sem razmi kar nekaj ljubez mesec majev ko so se od Maribor skozi Dravsk dolin proti Pliber valil avtobus hrvašk in bosans regist okra s slika Antej Pavelić in drugih,ni sporni govor,0
79,Iz radovednos Kater pa je najbol guma na svetu For futur refer,ni sporni govor,0
80,Upam da je res antifašis in da sta oba njegov starš in tudi vsi na tej polic postaj in vsi v mestu iz kater je antifašis Ampak to ne pomen da ima ta fant resne probl da je šel razbij avto Bo moral delat na tem da to odprav,ni sporni govor,0
81,To je ca 35 novo okužen ob normal števil testiranjKaj boste nared kako boste ukrepaliAplik ne bo rešil vedno večje težav kot tudi ne Krek ki je zgublj v svoje vesolj,žalitev,1
82,Če komu pomag Avstr so pred kratk odloč da bo bosta pri njih TV in radio naročn še naprejMog pa njihov televiz ni v rokah skrajn levičar kot našap je potem za ljudi bolj sprej,žalitev,1
83,KAPO DOL S SVOJIM TRUDOM IN DELOM USPEŠ DOSEČI TOČNO TO KAR SI SI ZAMISLIL ZAŽELEL BRAVO,ni sporni govor,0
84,Kljub temu da se ne strinj da so v najvis placn razred ze zarad simbolik bi lahko bili v najniz kaj pa je pri 4800 bruto 400 bruto vec je nepost recti da so bile place v prvem paket Vsak delodaj mora ob nastop dela dolocit placo delav,ni sporni govor,0
85,lol večin je imela takrat levic v vsake primer bi bil ivolj čefur,žalitev,1
86,ivanretvit Petic v podpor vladi zbral že 48 tisoč podpis Potrebuj vlado ki zna in zmore in taka vlada potreb nas via,ni sporni govor,0
87,Dobre novic z Otoka zdravs stanj Boris Johnson se izbolj,ni sporni govor,0
88,Ni bil članek novinar tega itak ne bi dali v javn,ni sporni govor,0
89,Včeraj mi je v roke prišl očetov sprič leto 193839 iz državn petrazred ljudsk šole Prav dober uspeh na te ocene,ni sporni govor,0
90,Očitn tako strok da ne pozna osnov epide Je že res da brez zdrav pamet se nito čevlj ne obuje,žalitev,1
91,Prav da kriza potegn najbol in najslab iz ljudi Ne vem pa v kater kategor najbol ali najslab sodi zatek politik k socialistič ukrep za rešev gospodar po Evrop V nekriz časih vztraj korak v kontr smeri,ni sporni govor,0
92,Laži brez pol državn aparat kot brez pol gospodar Pa ne bomo se preveč naprez ravno prav da bo za plače k nam jih noben ne da,ni sporni govor,0
93,Frisn maj 2020 Poglej komu sledi in kaj pise Hujsi kot balk spijun Blok,žalitev,1
94,Ma boli nas kaj boste vi protestnik rekli Prveg od vas ki se bo stegn zarad COVI19 bom predlag za Darwin award,žalitev,1
95,Na Hrvašk ni zmagal desni Zmota Pomot Plenković sestav koali s satel,žalitev,1
96,Ne pozab zavrt včeraj Na ga gleda na skrivaj vi ga pa lahko javno v krogu družin seved Včeraj odličn in,ni sporni govor,0
97,Če je to najbol kar premor smo gotov 2 miljon nas je in Jajo nas bo skreg do konca Tako kot Trump amerik Deli in vladaj To je Janša Povej mi kaj je lahko slabš od tega,žalitev,1
98,Formal jih je dan pred izvolit nove vlade v DZ res nekajA najbol indik je njihov obnaš glede SNAV in ignor ter posmeh tisti ki so opozar da se je potreb pripravit in ravnat preven Se še spomn Šarčev nebuloz s tiskov,žalitev,1
99,Mene so ukinil na MMC pa je tam polno bolj nestrp vsebin Tudi zato podpir petic V,ni sporni govor,0
100,Nova izziv Erdog Turči Na sporn dele Sredoz morja pošil ladje ter provo Grčij,ni sporni govor,0
101,Turki bodo Hagij Sofij pustil odprt za turi krščan ikon ne bodo odstr,ni sporni govor,0
102,Pričak Res se jim že dobesed blede,žalitev,1
103,Ampak se je seved to vse na glavo postav ker so bili najbol funkcion mladi odrasl ljudj iz patriar tipa družin,ni sporni govor,0
104,In kako lahko minister finan medij ki pljuv po JansiDanas faktor je tu logik,ni sporni govor,0
105,Z roko do komol v marmelad vse nezakon zaposlit v zadnj dnevih stare vlade s 3 dnevn razpis roki vse pogodb ki so bile podpis v zadnj trenut Vse bo potreb prekl Lopov,žalitev,1
106,SAB je postal SLACe delas projek vlado to pomen da nacel tega ne pocnes iz ideolos razlikD pa ze v start izloc poziv Pa je cista ideolog in njena laz o projek vladiSt Lazniv Alenk SAL,žalitev,1
107,A še nisi pozab,ni sporni govor,0
108,Hhahahahahares sem se nasmej Domobr so nastal iz vaških straž in klerik bele garde beri 80 četnikovJ Avšič Karl Novak in so bili pomožn polic enota nemšk Werma,ni sporni govor,0
109,Vojsk bo izključ na J meji za to da bo v notranjos polic,ni sporni govor,0
110,Če gre tako naprej bomo med top 5 po izved testih na mio prebiv,ni sporni govor,0
111,Zlahk bi ukinil medobč omejit saj se izven domov za ostarel okuži manj kot 10 ljudi dnevn Ampak ne,ni sporni govor,0
112,Vsi MSM in nekaterik pravited ste nevtr nehajt naklad in zavajatVl imamo 1 teden kaj če bi poved še to kaj je nared dobr,žalitev,1
113,Kartonas škatl bi mu moral nekdo našti da se stlač vanjo,ni sporni govor,0
114,Ko se Trnljul zbudi iz dolg spanc stop v nov svetkjer so same lepe stvar sonce sije trava in rožic rast ter ptičk pojo,ni sporni govor,0
115,Saj to njegov štos Edini S podpih svojih medij je državl tako prestr pred migran da je to vse kar jih zanim Vse ostal je nepom,žalitev,1
116,Groza na Galaksvag vem če sem prav napis živi prijatel moje mami Tam se mi je zdelo kot pri nas na Kofcah,ni sporni govor,0
117,Kot razum ste mlada oseba in sete leta 1991 še cuzal prst glede razprod je to del družb sist ki smo ga zamenj in naj ne bilo več državn lastn vse zamen trg plebiscit Kdo pa ima vizij in kakšn pa je del demokratič sist voliv odloč,ni sporni govor,0
118,23 novih okužb domov za starej občan ogrož območ,ni sporni govor,0
119,butelj je zaprt dejans so tak škrti da za fotkan nočej odpret vina,žalitev,1
120,Bumbar vse je baje odobr zraven so se pa Jaklin Terce pa Zdrav drli naj na ZBR podpi,žalitev,1
121,Brez dlake na jezik in brez dlake na češpljiglad obrit yummyz pocuz,ni sporni govor,0
122,Res je A ta števil je vsaj neko orodj Brez nje ni noben za vse te mnoge trdoglav,žalitev,1
123,TA BOSANSKI OVCE JEBAČ ZALTAN ČORDIDSI DOVOLITA JE V BOSANSKIH HRIBIH JEBAL OVCE IN BUKVESE PRITEPEL KOT LAČEN POSRANEC V SLOVENIJOZDAJ PA SE ŠOPIRI KOT OVENJA ČE OVCE JEBCU SMRDI SLOVENSKA NARODNA GLAZBAPRVI VLAK ZA BOSANSKA BRDA OVCE JEBAT,žalitev,1
124,Roman Tomc Ob umetn intelig rabim tudi nova prav o varstv potrošnik,ni sporni govor,0
125,Tehnič in druga pomoč 2 05 2020 0251Ob 251 je na Zdrav cesti v Podčet prišl do močn puščan plina iz plinoh Posred so gasil PGD Steklar Rogaš Slatin ki so zavar kraj dogod,ni sporni govor,0
126,Do odgovor kako zelo so družb omrež pomemb za vaše podjet vas loči le en klik,ni sporni govor,0
127,Oditi so moral zarad sendvič maket prevaž kontrabas z državn avtom predol jezik in podobn krimin dejanj Še dobro da je Šarec kmalu ugotov da poslan in minist niso kandid za papež Tolik o preprog Pa srečn,ni sporni govor,0
128,Troha se proti Janši bori z Josip Brozo Primer za prisil psihiatrič zdravl Res se mu je skisal kakor tudi njegov aposolkamsled Če se želit nasmej obišč njihov site in poslušaj kaj ima gospodinjanatakar poved,žalitev,1
129,Uživaj v denarj lastnik el priključ dokler še lahko,ni sporni govor,0
130,Tale mala pisod solat je dala od sebe 3 sredn skodel solat Tole bo zadnj nato bom vso popul in na novo posej Tolk da mate mal občut kolk se da nardit na balkon,ni sporni govor,0
131,Petra ni iz njihov posveč gnezd,ni sporni govor,0
132,V naši hiši vse deluj in boli me za folk k se šeta Sam ne pol zbolev k so tolko na soncu in ne depres Moja hči dela v bolni in pravi da bo dala odpoved in se šla šetat da ne bo izgorel Ker ne bo več predan pokli,ni sporni govor,0
133,Stvar znača Stvar neizživet narciz Sovra do drug člove ni ravno vrlin in posebn Torej nared iz imena izem in sem na enkrat v vlogi žrtve sist Janša gt Janšiz Kot žrtvi mi je dovolj vsakr namišl samoob,žalitev,1
134,Slaba fotka in slab protokol Pravil bi bilod Hojs stoji zraven sloven zastav Grasov zraven kroats ne pa tako da zakriv sloven zastav Pri protokol ne bi smeli šalabajzer,žalitev,1
135,Si ne upaMen pa zanim kdaj bo na kaki vedel,ni sporni govor,0
136,Ta popotres upam vsaj da gre za tega je bil malo blažj a je trajal dalj časa zato je bil bolj neprijet Ljudj iz višjih nadstrop v Maribor javlj da prav jadra da jih vozi sem ter tja Prvi sunek 53 drugi 5 tako da NI ŠLO za popotres pravkar javlj,ni sporni govor,0
137,Nimam vpogled v vse aktivnos površ vtis pa je da smo morda malo preveč pasivn A pusti se pozit presenet,ni sporni govor,0
138,Tak versk blaznež da praznuj vnebovzet in velik šmaren Kera legend,žalitev,1
139,Šarec ni več aktua Zakaj nabij Bomo videl če boste tako kritič tudi pri nelegit janšev vladi,žalitev,1
140,Saj pravi da je to vse lepo in prav v normal razmerah Zdaj priha do prevelik frek in posledič lahko pride do težav Po pamet z nakup,ni sporni govor,0
141,Notran minister Aleš Hojs danes obisk Metlik,ni sporni govor,0
142,Danes bi moral biti Bergan na razdal večji kot 2 metra saj je žlehtnob kar špric iz njegov ust,žalitev,1
143,Pametn odgovor častn z lastn mišlj ki pa ga ne vsiljujet kot počno mnogi ampak ga ponuj kot izhod za civiliz konstruk debatoOd ki je ne bi smel nihče prezr,ni sporni govor,0
144,Absolut Ampak mi imamo 25000 nevlad organiz Tistih kul je morda 10 procen prostovol gasil co naprimer,žalitev,1
145,Jutri ekskluz za Radio GagaŠef parlamentar preisk komis ob sumu korup z maska Bozo,ni sporni govor,0
146,Kdaj boste svoje bicikl spametovaliTud oni so grozn za raznas virus,žalitev,1
147,Tolik okužen nismo imeli od mesec april Odkod prihaj okužen,ni sporni govor,0
148,Počakaj malo Zaenkr smo solidar in strpn,ni sporni govor,0
149,Nihče od Modrij nima ata ki bi bil vrhovn tožil in mame ki bi bila tesna sodelav ljublj županaKap nje nje,ni sporni govor,0
150,Še en bedak ki bi celo zgodov prilagod komunistič diktatur In potem bi bili radi taki osli demokr nikol in nikdar krvav Krist rojen v rdeči zvezd,žalitev,1
151,Dobro no nehaj kozle strelj ker Tita ni nihče izvol Povrh smo zarad njega največ izgub prav Sloven in največ pridob Hrvat Jaz se resno sprašuj kaj je njemu slab moral nared sloven veja družin,žalitev,1
152,SDS Tole bi radiPravnik To je v nasprot z zakon SDS Briga nas Klinc gleda zakoneSDS čez pet minut Probl so levičar anarhis ker ne spoštjuj zakonovČlovek se nehot počut kot da je v zaprt oddelk,žalitev,1
153,Neubr S takšn Ramos bo Real težko zaustav SergioRamos Ramos RealMadrid Lalig,ni sporni govor,0
154,A niti unih 3 mesečn niso sposob nabrat pri svojih prist zajed,žalitev,1
155,Hvala za vpraš Pozna velik igric Si prebr moj tvit kater si koment Bilo je VPRAŠANJE Zanim da te vpraš lahko prizad Prepr odkrit odgovor bi bil čisto dovolj,ni sporni govor,0
156,Mehkuž preber si nimojpredsednik,žalitev,1
157,Hvala doktor da je to poved Vlada vlada nekaj pa čemim ob Čivkan Hvala za to,ni sporni govor,0
158,odlič zagovor ga Barbar ZOBEC vrhovn sodni RS,ni sporni govor,0
159,Razkrit vsebin koali pogodb Za blagin Sloven,ni sporni govor,0
160,Razpol je potreb V prispevek in naroč lastnik POP Tv da naj discip novinar na tej televiz saj so le ti prav tako študir na FDV so namreč preže s komunistič ideja torej kar naprej lagat še bo že kaj prijel,žalitev,1
161,Kako lahko razvesel svojo najdraž Sodeluj v nagrad kvizu in morda jo boste lahko presenet s praktič daril T2nagradnaig danžen,ni sporni govor,0
162,Vablj že čez nekaj minut k spreml oddaj EkstraVisor na prvem progr V oddaj ki bo obravnav ranlj držav na področ samoos s hrano bo sodel tudi predsednik Sloven kmečk zveze pri Rok Sedminek,ni sporni govor,0
163,Iskren izpoved iz pasj zavet Do zadnj dne bom vaš varuh,ni sporni govor,0
164,Boštj Pirc ali se ne sramujes svojih besedker če se jih ne se vprašaj po svoji vestič jo sploh imaš,žalitev,1
165,Googl objav podatk o sprem mobilnos zarad COVID19 epide Med sloven kraji so kar opazn razlik,ni sporni govor,0
166,Res je Na tem področ pa s svetlob leto prednos pred vsemi ostal medij vodi,ni sporni govor,0
167,Sem mislil da je sloven poslan v EU in ne jesenis oz Drzav juzno od Kolpe,žalitev,1
168,Tako se pri nas za oblast bori Lajaj in renc ubistv pa ves čas sejej,žalitev,1
169,Razli je med poznav zgodov in pa obremenjav z zgodov,ni sporni govor,0
170,Velik večin bomo nekater ne bodo žal,ni sporni govor,0
171,Še enega slavlj imamo danes med nekdan košarkar našeg kluba Alen Omić vse najbol ZmajevoSr,ni sporni govor,0
172,Ni dobr razlog da ne bi vsak dan opozar Do končn cilja,ni sporni govor,0
173,Butl zakaj si se pa spust v projek manjš vlade Zarad lastn ega Zradi tega ker si stric poslu Samo bonbon si delil nisi nared pa čisto nič za razvoj Sloven enako kot Miro Pejt rajš nazaj med gasil pa v cerkev beril brat,žalitev,1
174,Kaj prina ne ukinit dopoln zavar Po sedanj trend zvišev bi po ocenah ZZZS nasled leto plačev 40 evrov Če bo kriza pa še več Za to so krivi poslan SMC Desus SDS NSi SAB in SNS,ni sporni govor,0
175,Pingopisofkej z desni prime slami 1 cm nad ošilj stran z levo roko držiš sok sredin levic prislon proti luknj za slami od zadaj in slami naravn navzdol potisn v za to priprav nastavekvoilaž v OŠ sem bila faca ker sem znala,ni sporni govor,0
176,Od petzvez hotel na Obali v kater bo unovč bon sta ga ločil dobri dve uri vožnj z avtobus Prvič v življ bo preno zdoma Vijug po črnok ovink je zajetn telo ne najbol fit petdesetlet nepres metal iz težiš 12,ni sporni govor,0
177,Posled Mesca in Mesciz bodo rajanjep ulicah z odrez glava belcev kristj in vseh tistih ki sedaj poljub njihov noge in poklek v čast Floyd,žalitev,1
178,Ko si hvalež da še imaš drva za tri večer da brezposel in prijav na ZRSZ brez nadomes brez social da kljub niste bili izbran za to delavn mesto da imaš dovolj koc odej da se ovije vanje itdše vrjam vase in na sončn dni,ni sporni govor,0
179,Spet bluzi Ti in tvoji nehvalež ilegal še legaln delav v Sloven niso nek moraln zgled,žalitev,1
180,po izraz sodečkot da bi gledal slike iz lansk počitn na morju,ni sporni govor,0
181,Ampak tole mahan z jugosl zastav je pa res od sile Večin protestnik je premlad da bi sploh živel v Jugoslav Kakšn pravlj so jim natros njih starš in stari starš ne vem,žalitev,1
182,Slaba organizacijaCl mlajs selek ki so bili povabl na ogled tekme ni bil dovolj dostop v spodnj del zelen ringa pod ograj,ni sporni govor,0
183,In kaj na to poreč UDBAŠICA v grobu PODEN od PODNA kar se je od LOPOVA ki je celo DIJAKE POKRADEL že vseskoz pričak Škoda ker je prej ZASRAL celotn ZUNANJO POLITIKO vključ z ZLOČINCEM ERDOGANOM in njegov pajda z njim SKRATKA eden največ DILETANTOV SLO,žalitev,1
184,Virus se je možno izogn z izola Bolez ni nujno smrtn Pred leftar se ne moreš izolir S svoji masovn medijs agitprop bombar narod in mu perej možgan,žalitev,1
185,Prosil bi za vec taksn aktivnos in obves javnos o vladn nebulozah Nekater to trdim ze od zacet a nimam domet,žalitev,1
186,Mal prej poslu kako nočej za delav po državn pomoč Ugiba da zato ker pol si ne smejo dobičk izplač,ni sporni govor,0
187,Tudi kralj Plani bo enkrat krona padla z glave To ni dobro niti smisel,ni sporni govor,0
188,Podatk o povpreč teži in staros za 8mare Kaj se je zgodil z branč in rožam,ni sporni govor,0
189,Nivo komunik pa vedno prilagod sogovornik tako da me razumet tudi levuhar oligof,žalitev,1
190,Dokler ne padeš s koles ali te pober nepozor voznik nič Na cesti je za to verjet majhn na kavču pa točno enaka nič,ni sporni govor,0
191,Te cifre morat pogled Vrag je odnesel šalo To norij je treba konča,ni sporni govor,0
192,Ne Je vpraš o tem ali je zadeb siste ali sporadič Po moje je to najbol pomemb vpraš v tej zgodb,ni sporni govor,0
193,Skupin na FB Coron največ prevar stolet je imela dva dni nazaj 500 lajkov danes ima že jurja Dezinfor se širij hitre kot virus Ljudj bodo umrli zarad tega ki sicer ne bi Sodno pregan,žalitev,1
194,V Italij 40 ljudi ne upošt karant Vojsk bo na ulicah Kaj pa naj,ni sporni govor,0
195,Zakaj pa ti na sliki protes pa ne vem vem pa jih saj tretin nima kaj prida delovn dobe majo pa stanov od držav Jaz kot tak pri stanov po Jazbin nisem imel srece je bilo pred nakup decianoliz pa moral od začet gradit pa nisem nikol protes,žalitev,1
196,Lej lohk me maš za butla nerazgled in zaslep Ampak brati pa znam Tudi razum prebr Imam osnovnošol sprič Sloven jezik 4,nespodobni govor,1
197,Če bi minister pravočas ustrez ukrep in se ne bi pridruž tisti ki so histeriz da panik pa res ne potrebuj bi imeli precej manj okužen manj zadreg in ne nazadn ne bi zapir celih klinik v karant Kajned g Šabeder Zdaj nas pa glava boli,žalitev,1
